stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,0,31.98,0,0,0,0,0,0,0,0,29.26,0,0
  5-6,8.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.86,0,0,0
 10-12,0,0,0,0,0,0,4.82,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.26,0,0,2.69,0,0,0,0
 24-34,0,0,0,0.64,0,0,0,2.58,7.93,0,0,0,3.43
 36-46,0,0,0,0.57,0,0,0,1.27,7.19,0,0,0,1.16
 48-58,0,0,0,0,0.37,0,0,0,2.03,0,0,0,0
 60-70,0,0,0,1.98,0,6.41,0,0,6.88,0,0,0,0
 72-82,0,0,0,0.51,0,0.93,0,2.84,3.91,0,0,0,0.89
 84-94,0,0,0,1.64,0.69,0,0,0,2.83,0,0,0,0
 96-106,0,0,0.79,4.86,3.09,0,0,0,4.98,0,0,0,0
108-118,0,0,0,0,0,0,0,0,6.3,0,0,0,0
120,0,0,2.93,8.11,0,0,0,0,0,0,0,1.21,0
