stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord
  7-9,0,3.56,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02,0,0,0,0,0,0
 14-21,0,0,1.96,0,0,0,0,0,0,0,0,0,2.25,2.04,0,0,0,0,1.98,41.67
 24-34,0.67,0,1.75,0,0,0,0,0,0,0,0,0.71,83.2,0,0.97,0,1.21,0,0,107.42
 36-46,0,0,0,6.59,0,0,0,0,0,1.31,0,0,94.06,0,4.83,0,3.37,0,0,95.94
 48-58,0,0,0,3.53,1.06,0,0,7.83,0,0.89,0.96,0,132.63,0,1.37,0,1.15,0,0,24.78
 60-70,0.91,0,0,20.69,0,1.14,0,0,0,1.69,0,0,111.84,0,2.27,0.65,0,0,0,5.19
 72-82,6.72,0,0.61,0.56,0,2.04,0.5,0,0,1.19,0,0,140.98,0,0,0,0,0,0,10.11
 84-94,3.54,0,0,11.51,0,2.37,0.64,0.56,0,2.13,3.56,0,55.97,0,1.93,0,1.6,0.7,0,1.51
 96-106,5.74,0,2.24,6.68,0,0.86,0,0,0,8.48,1.23,0,79.5,0,3.22,0,0,0,0,1.93
108-118,0.85,0,3.67,1.23,0,1.04,0,0,1.37,0.79,1.46,0,116.34,0,1.88,0,0,0,0,0
120,0,0,1.43,3.33,0,7.81,0,0,6.54,4.36,1.1,0,130.59,0,0,0,1.24,1.02,0,0
