stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,63.37,730.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0
  5-6,80.09,1141.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0,0,21.11,0,15.28,0,0,0,0,0,0
  7-9,16.18,17.43,43.89,0,0,124.06,0,0,0,30.48,0,0,0,0,0,0,0,0,1025.68,27.44,0,0,341.09,0,4.34,0,0,0,0,0,0
 10-12,0,24.73,87.68,0,0,70.97,0,0,0,20.52,0,0,0,0,0,0,0,0,1009.85,3.12,0,0,283.04,0,0,4.19,83.07,0,0,3.51,0
 14-21,0,0,0,0.87,1.19,1.27,0,0,0,0,0,0,0,0,3.47,0,0,0,14.63,0,0,0,0.95,0,0,2.3,0,4.37,0.95,7.12,0.82
 24-34,0,0,0,0.69,0,3.91,0,0.86,0,0,1.21,0,0,0.68,6.87,0,0,0.64,33.82,0,1.32,0.64,0,0,2.15,0,0,0,0.66,12.57,0.87
 36-46,0,0,0,3.09,0.67,6.08,0,0,0,0,0,3.67,0,0,2.61,0,0,2.24,57.49,0.56,0,3.34,0,0,0,0,0,0,0,10.79,0.56
 48-58,0,0,0,4.01,0,47.56,0.65,4.83,5.32,0,0,0,0,0.42,4.19,0,0,0,36.19,0,0,0,0,0,1.25,0,0,0,0,13.51,0
 60-70,0,0,0,3.63,1.84,4.76,0,0,5.53,0,0,0,2.5,0,0.74,0,8.76,0,73.82,0,4.45,0,0,0,0,0,0,0,0,11.37,0
 72-82,0,0,0,0,8.17,6.45,0,3.13,0,0,0,0,0,0,3.56,0.73,0,0.9,17.52,0,3.1,0,0,0,0,0,0,0,0,2.19,0
 84-94,0,0,0,0,1.61,5.92,0,0,0,0,0,0,0,0,7.33,0,0,0.82,3.22,0,0,0,0,0.83,0.85,0,0,0,0,3.14,0
 96-106,0,0,0,0.79,4.93,1.26,0,0,0,0,0,0,0,0,0.97,0,0,0,9.15,0,0,0,0,0,0.61,0,0,0,0,0.6,1.51
108-118,0,0,0,0.76,5.16,1.78,0.58,0.54,0.61,0,0,0.45,0,0,0.79,0,0,0,27.92,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,6.33,0,0,4.56,0,0,0,0,0,0,6.9,0,0,0,27.64,0,0,0,0,0,0,0,0,0,0,0,5.98
