stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0
  5-6,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0
 14-21,0,0,0.92,0,0,1.07,0,0,0,0,7.73,0,0,0,1.34,0,1.33,0,0,0
 24-34,0,0,0,0,0.73,0,0,0,0,0.76,11.8,0.62,0,0.61,0,0,2.63,0,1.15,0
 36-46,0,0,0,0,4.19,0,0,0.61,0,0,13.18,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.39,2.89,0,6.8,2.59,2.17,18.28,0,0,0.42,0,0,7.16,0,0,0
 60-70,0,0,1.71,0,21.88,0,0,0,0,0,5.72,0.65,0.58,0,0,0,2.43,0,0,0
 72-82,0,0,0,0.64,14.65,0,0,1.44,0,4.07,1.97,0,0.54,0,0,0,1.67,0,0,0
 84-94,0,0,0,0,5.85,2.19,0,4.99,0,0,11.56,0,0,0,0,0,0,1.34,0,0.76
 96-106,0,0,0,0,0,5.35,0.85,0,0,0,3.79,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.06,0.42,1.99,0,0,5.42,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.23,0,0,0,0,2.17,0,1.59,0,0,0,0,0,0,0
