stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9.26,2.89,6.62,0,0,0,6.42,0.97,0,0,0,0,0,0,7.44,0,0,7.86,119.01,2.61,0,1.05,2.17,0,5.11,3.33,5.15,37.1,0,0,0,0,0
 24-34,0,0.72,0,12.93,0,0,0,3.46,0,0,0,0,0.6,0,0.65,18.74,0,0,6.42,134.7,0,0,3.51,0,0,3.37,0,0,50.71,0,0,3.91,0,0
 36-46,0,1.86,0.57,39.75,0,0,0,6.84,0,0.59,0,0,0,0,3.76,14.16,0,0,4.94,172.13,0,1.27,0,0,0,8.01,0,0.83,35.02,0,0,3.32,0,0
 48-58,0,0.77,0,37.12,2.53,1.03,0,10.98,0,0,0,0,0,3.92,3.35,17.55,1.01,4.59,1.84,148.1,0,11.72,0.37,0,0,2.78,0,0,31.76,0,0,0.92,0,0.45
 60-70,0,0.76,2.82,41.71,0,0,2.64,23.81,0,0,0,0,0,0,0,22.69,0,0.89,0.71,150.94,0.75,1.23,2.81,0,0,8.68,0,0,21.09,0,0,3.75,0,2.33
 72-82,0,3.53,11.58,42.74,0,0,0,28.78,0,0,0,0,0,0.52,0,35.46,5.98,3.07,6.58,112.69,0,2.71,7.05,0,0,6.34,0,0,12.67,0,0.66,3.13,0.6,0
 84-94,0,3.2,8.84,31.68,0,0,0.96,34.46,0,0,0.7,3.27,0,3.06,0,25.34,1.6,0,4.8,109.97,0,2.14,0.91,0,1.31,10.05,0,0,10.37,1.5,0,1.16,2.14,0
 96-106,1.9,8.46,76.27,52.73,5.83,0.63,1.14,33.47,4.58,0,0.75,2.51,0,0,0,50.12,0,0,1.72,136.62,2.03,2.64,1.61,0,3.05,10.83,0,0,1.15,1.67,0,18.07,4.41,0
108-118,0,3.3,36.33,90.7,4.79,2.51,0,24.11,4.81,0,0,5.59,0,0.44,0,50.73,0.71,0,1.59,140.33,0.51,5.21,0.56,0,0,6.68,0,0,2.54,0,2.65,7.07,0.69,0
120,0,1.18,11.35,92.82,0,0,0,22,0,0,0,7.13,0,6.89,0,17.72,0,1.26,7.01,282.3,0,1.26,9.35,0,0,21.64,0,0,0,5.48,0,3.87,2.31,0
