stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,35.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.28,8.33,0,0,0,0,51.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,4.8,0,0,33.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12,0,5.03,0,5.97,74.72,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,598.65,6.14,0,0,49.3,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.74,5.1,0,19.35,0,0,4.02,0,0,0,0,0,0,0,0,0.88,2.79,0,0,0.87,190.67,1.14,3.7,0.83,0,0,0,0,1.67,1.78,0,2.17,79.79,0,0,0,0
 24-34,0,0,0,1.93,4.68,0,52.88,0,0,15.07,0,2.59,1.21,0,0.65,1.17,2.68,0,0,5.97,2.34,0,6.55,627,0,8.15,7.46,0,0,5.01,0,0,1.12,0,0,200.61,0,4.18,0,0.86
 36-46,0,0,0.73,0,2,0,123.75,0,0,80.88,0,0,0,0,1.57,0,0,3.46,0,7.57,0,0,0.92,547.99,0,9.21,1.48,0,2.85,0,0,0,5.91,0,0,245.49,0,2.02,0,0
 48-58,0,0,0,0,2.7,0,228.99,0,0.88,146.33,1.54,0,0,0.79,0,0,0,1.26,1.49,4.78,0,0,1.95,312.21,0,14.63,1.36,0,0,1.56,0.65,0,0,0,0,205.78,0,0,0,0
 60-70,0,0,0,0,2.9,0,159.79,0.69,0,164.76,0.95,0,0,0.65,1.02,0,0,0,0,13.13,0,0,0,166.04,0,9.87,14.69,0,0,0,0,0,0,1.5,0,68.61,0,0,0,0
 72-82,0,0,0.69,0,1.99,0,129.16,0,0,146.49,0.67,0,0,0.52,0.52,0,0,0,0,13.44,1.68,1.11,0,136.09,0,8.81,8.42,0,0,1.41,0,0,0,0,0,11.14,0,0.66,0.59,0
 84-94,0,0,2.73,0,5.79,0,105.64,0,0,112.33,1.3,0,0,0,0.96,0.7,0,0,4.83,19.55,0,1.87,0,126.61,0,8.48,7.5,0,0,0.82,0,0,0,0,0,25.51,6.86,1.1,0,0
 96-106,0,0,2.65,0,2.76,3.11,60.26,0.57,0,134.55,3.51,0,0,3.23,1.1,0,10.81,0,0,11.05,1.09,0,1.03,98.3,0,8.59,5.95,0,0,1.67,0,0,0,0,0,5.4,0.7,2.8,0,0
108-118,0,0,1.18,0,4.34,10.37,66.25,0,0,160.78,1.51,0,0,3.32,1.33,1.62,0.43,0,0.54,7.59,9.02,0,1.11,93.06,0,7.35,2.38,0,0,3.52,0,0,0,0,0,7.47,0,0,0,0
120,0,0,0,0,0,5.94,94.65,0,0,192.94,0,0,0,21.93,3.72,0,2.85,1.02,0,3.39,12.14,19.96,0,123.98,0,23.9,5.92,0,0,0,0,0,0,0,0,2.96,2.06,0,0,0
