stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.52,0,0,0,0,0,0,0,0,7.02,0,0,0,0,0,0,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,17.66,0,0,0,6.74,0,0,0,0,5.96,0,0,0,0,0
 14-21,0,0,0,1.03,0.99,0,0,0,0,0,1.08,0,0,0,0,14.16,0,0,13.44,0,0,0,0.88,0,0,0.84,0,2.29,10.34,0,0,0,0
 24-34,0,1.29,0,4.03,0,0,0,0.72,0,0,0,0,0.72,0,0,3.31,0,2.78,119.09,0,0,2.65,0,0,0,0,0,0.61,71.95,0,0,0,0
 36-46,0,0,0,0.77,0,0,3.77,0,0,7.57,0.67,0,0,0,0,0.84,0,1.95,192.61,0.66,4.59,1.55,0,0,3.92,0,0,0,92.29,0,0,0,0
 48-58,0,0.59,0,0,0,0,8.26,0,0,46.71,0,0,0,0,0,4.14,0,0.64,398.85,0,0,0,0,0,3.09,0,0,0,72.63,0,0,0,1.73
 60-70,0,0,0,0,0,0,33.95,0.95,0,64.92,1.05,0,0,0,2.25,16.44,0,0,661.28,0,1.09,2.01,0,0,3.54,0,0,0,64.29,0,0,0,0
 72-82,0,0,0,0,0,0,75.96,0,0,68.54,0,0,0,0,0,3.7,0,0,726.94,0,4.53,0,0,0,5.38,0,0.75,0,78.76,0,2.85,0,4.63
 84-94,0,1.05,0,1.42,0.68,0,79.41,0.55,0,36.74,0,0,0.55,0.67,0,13.07,0.72,3.03,509.04,0,1.78,7.38,0,1.01,5.81,0,3.02,0,46.38,0,0.57,1.97,6.59
 96-106,0,1.08,0,3.04,0,0,70.31,0,1.88,25.12,1.04,0,1.05,0,0,4.55,0,0,420.09,0,0,4.56,0,0,2.2,0,0,0,30.66,0.93,0,0,1.69
108-118,0,1.84,1.47,6.63,0.56,0.49,69.51,0,0,23.84,0,0,0,0,0,11.24,3.27,0,404.45,0,3.1,0,0,0,5.92,0,1.83,0,10.32,0.57,0,0,0
120,0,0,0,0,1.53,4.06,106.48,0,0,92.55,0,0,0,0,0,6.54,0,0,715.39,0,0,0,0,0,1.1,0,0,0,21.92,0,12.8,3.74,0
