stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.32,187.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.93,0,0,0,0,0,0,0,0,0,0,44.84,0,0,0,30.31,0,0,0,0,0,0,0
 10-12,0,10.44,0,0,0,13.42,0,0,0,0,0,0,0,0,0,0,88.59,0,0,0,6.31,0,0,0,0,0,0,0
 14-21,0,0,0.96,0.91,0,1.72,0,0,0,0,0,0,0,0,0,0,19.13,0,0,0.88,0,0,0.93,7.17,1.25,0,0,0
 24-34,0,0,0,0.65,0,2.86,0,0,0,1.22,4.24,0,0.68,6.43,2.63,0,34.13,0,2.71,0.63,0,0,0,0,12.28,0,1.62,0
 36-46,0,0,0,0,0,2.91,0,3,0,2.76,1.77,2.02,0,0,0,0.96,81.73,0,3.88,0,0,19.5,0,0,10.8,0,0,0
 48-58,0,0,0,0.52,0,14.99,0.8,0,0,1.16,0,0,0,0,6.97,0.43,84.76,0,1.04,0,0,0,0,0,8.86,0,0,0
 60-70,0,0,0,0,0,32.45,0,0,0,0,0,0,0,0,33.04,0.77,123.48,0,1.8,0,0,0,0,0,20.19,0,0,0
 72-82,0,0,0,3.22,0,75.77,0,0,0.61,14.16,0,1.53,2.31,0,10.43,1.54,162.68,0,0.9,0,0,0.55,0,0,16.98,0.87,0,0
 84-94,0,0,0,0.56,0,59.73,0,0,0,1.4,0,0,2.8,0,8.92,0,101.97,0,0,0,0,0.62,0,0,25.9,0,0,6.18
 96-106,0,0,0,1.24,0,46.29,0,0,1.64,17.18,0,0,0.62,0,13.4,0,64.4,0,1.51,0.65,0,0,0,0,1.8,0,0,0
108-118,0,0,0,2.44,0.6,83.47,0,0,0.79,28.65,0,0,0,0,16.54,1.89,156.76,0.9,0.86,0.5,0,0.42,0,0,9,0,0,0
120,0,0,0,17.84,0,56.38,0,0,0,42.43,0,0,6.57,0,24.85,1.08,236.5,0,1.29,8.61,0,0,0,0,32.31,0,0,0
