stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,48.99,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,6.98,0,0,0,0,0,7.94,0,0,0,0,0,0,0
  7-9,0,0,7.67,0,0,0,51.19,0,0,11.9,0,0,0,0,0
 10-12,0,4.74,0,0,0,0,25.69,0,0,16.84,0,0,0,0,0
 14-21,0,0,0,6.68,1.09,0,4.95,0,0.89,1.7,0,3.47,0,10.92,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.93,0
 36-46,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0.73,0
 60-70,0,0,0,0,0,1.05,2.54,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.49,0,4.65,0,0,0,1.06,0,0,0,7.49
120,0,0,0,0,6.58,0,5.6,0,0,0,0,0,0,0,0
