stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc
  3-4,99.36,1835.46,0,0,0,0,0,0,55.05,0
  5-6,99.85,1510.23,0,0,7.31,74.77,32.72,0,54.18,0
  7-9,103.75,56.57,65.42,57.27,138.28,826.15,68.74,347.29,0,6.2
 10-12,0,0,17.23,32.26,12.45,253.11,40.57,65.5,0,0
