stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,285.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,0,0,0,0,0,0,0,0,0
  5-6,27.67,423.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.29,0,0,26.81,0,0,8.59,0,0,0,25.53,0,0,0,0,0,151.43,19.78,0,0,44.24,0,5.11,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.31,0,0,0,6.17,0,0,0,0,0,249.09,4.59,0,0,33.05,0,0,0,3.99,0,0,0,0,0,0
 14-21,0,0,0,0,6.04,1.49,1.27,0,60.34,0,0,0,0,0,2.89,0,50.32,0,0.98,2.72,0.89,0,0,2.66,47.2,0.95,2.01,132.18,0,0,0
 24-34,0,0,0,0,2.74,0.83,5.94,0,46.93,0.71,0,0,0,0,0.63,0.6,46.19,0,13.27,0,0,0,0,0,21.37,0,0.74,67.83,0,0,0
 36-46,0,0,0,0,0.71,0,13.57,1.16,19.38,0,0,0,0,0,3.58,0,55.15,0,5.97,0.62,0,0,0,0,22.97,0,0,42.82,0,0,0
 48-58,0,0,0,0,0,0,62.17,0,21.28,0,0,0,0,1.02,3.66,0,16.06,0,6.2,0,0,0,0,0,11.66,0,0,27.39,0,0,0
 60-70,0,0,0,0,0.71,0,261.36,0.93,14.26,0,0,0.65,0,0,2.34,0.89,10.21,0,2.27,0,0,0,0,0,1.74,0,0,19.07,0,0,0
 72-82,0,0,0.69,0,9.37,0,176.87,0.56,22.97,0,0,0,0.64,0,11.85,0.69,9.53,0,2.49,0,0,0,0,0,0,0,0,9.22,0.67,0,1.14
 84-94,0,0,0,0,1.5,0,203.09,1.43,16.11,1.68,0,0,0,0,0,0,21.51,0,8.53,0,0,0,0,0,3.95,0,0,17.65,0,0,0
 96-106,0,0,0,0,0,0,151.97,0,21.83,0,0,0,0,0,3.35,0,2.4,0,8.85,0,0,0,0.76,0,1.39,0,0,5.29,0,2,0
108-118,0,0,0,0.74,0.6,0,138.34,2.38,21.35,0,0,0,0.45,0,0.99,0,16.88,0,8.35,0.58,0,0,0,0,3.65,0,0,8.04,0,0,0.73
120,0,0,0,0,1.45,0,151.91,0,1.45,0,0,0,0,0,0,0,10.12,0,2.49,0,0,0,0,0,2.81,0,0,1.34,0,0,0
