stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.32,83.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,90.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.56,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,4.23,0,0,0,9.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,2.44,1.64,0,0,0,4.51,0,0,0,0,0,0,1.14,3,0,0,0,0
 24-34,0,0,0,3.19,0.8,0,0,0.76,0,0,0,0,0.73,0,0,0,0,15.08,0,0,0,0,18.53,0,1.13,0,0,0,0,82.59,5.52,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,16.63,0,0,0,0,29.27,0,0,0,0,0,0,12.22,6.05,0,0,0,0
 48-58,0,0,0,0,0,0,0,3.15,0,0,0.59,2.24,0,0,0,0,0,37.94,0.4,0,0,0,46.61,0,0,0,0,0,0,8.76,5.05,0,0,0,0
 60-70,0,0,0,0,0,0,0,8.9,2.44,0,0,2.04,0,0,0,0,0,53.76,3.05,1.01,0,0,51.14,0,0,0,0,0,0,24.8,1.03,0,0,0,0
 72-82,0,0,0.5,0,0,0,1.22,10.09,0,0,0,0,0,0,0,0,0,206.74,0.53,0,0,0.57,45.48,0.88,0,0,0,0,0.63,16.86,14.03,0,0,0,0
 84-94,0,0,0,0,1.13,2.57,0.92,5.87,0,1.13,0,5.72,0.86,0,2.72,0,0,726.42,4.15,0,0,1.54,44.5,0,1.89,0,0,0,0,38.86,9.68,0,3.19,0,5.71
 96-106,0,0,0,0,2.69,4.62,1.14,44.39,0,0,0,15.6,0.66,0,2.05,2.12,1.07,968.14,10.3,0,2.73,0,126.56,0.77,1.34,0,0,0,9.94,12.93,0,0,0,0.69,0
108-118,0,0,0,0,1.2,11.54,3.97,25.54,0,0,0,5.85,0.53,0,0,0,0,1945.23,19.03,0,1.08,2.48,132.96,0,0,0.84,0,1.95,0,40.39,3.29,0,1,0,0
120,0,0,0,0,0,0,0,3.85,0,0,0,20.46,0,0,0,0,0,828.28,0,0,0,0,93.55,0,0,0,0,0,0,21.62,0,1.32,0,0,0
