stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,34.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,23.63,7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.1,0,15.79,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,83.94,6.14,0,0,6.39,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21.52,0.96,0,1.93,0,0,2.25,0,0,0,0,0,0,2.41,0,0,0.95,18.71,0,0,0,0,1.88,0.86,0,1.82,3.92,0,0,0,0
 24-34,0,0,0,10.31,0,0,1.53,0,0,0.68,0,0,0,1.33,0,0,8.17,0,0,0,71.64,0,1.12,0,0,17.88,0,0,0,9.99,0,0,3.14,0
 36-46,0,0,0,1.21,0,0,5.17,0,0,1.61,0,0,0,0,1.61,0,0.81,0,0,0,34.57,0,0,0,0,6.51,0,0,0,8.27,0,0,0,0
 48-58,0,0,0,0.67,0.41,0,10.86,0,0,4.91,0,0,0,0,0,0,6.7,0,0,0.49,22.03,0,0,1.03,0,0.7,0,0,0,2.86,0,0,0,0
 60-70,0,0,0,0,0.67,0,15.97,1.48,0,5.62,0,0,1.1,0,0,0,17.83,0,0,0.7,8.94,0,0,0,0,22.24,0,0,0,3.12,0,0,0,0
 72-82,0,0.61,0,0.7,0,0,1.86,1.43,0.57,2.03,4.82,0,0,0.53,0.68,0,15.66,1.96,2.6,0,7.18,0,0,0.57,0,16.07,0,0,0,0,0,0,4.27,0
 84-94,0,0,0,8.99,0,0,3.37,0.57,0,7.7,1.44,1.3,0.79,3.12,0,0.96,18.83,0,0,5.21,6.05,0,0,0,0,20.06,0,0,0,0,0,0,0,0
 96-106,0,0.81,0,13.73,3.41,0,3.19,1.32,0,1.81,0.7,0,0,0.87,1.28,0,13,0,1.11,1.79,22.02,0,0.9,1.29,0,37.17,0,0,0,0,1.94,0,4.2,0.68
108-118,0,0,0,22.21,3.04,2.14,0.49,5.52,0,10.58,2.1,0,2.53,0,0.63,0.69,21.94,5.21,2.79,2.1,7.15,0,0,2.23,0,20.18,0,0.75,0,0,0,0.54,7.11,3.36
120,0,0,0,10.35,0,0,3.45,0,0,0,0,0,0,2.26,14.75,0,37.04,0,0,0,1.33,0,0,0,0,39.13,0,1.12,0,0,0,0,1.72,0
