stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste
  3-4,0,154.36,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0
  5-6,19.96,207.34,0,0,0,0,0,0,0,0,0,0,0,0,0,42.41,0,0,0,0
  7-9,0,0,11.5,0,4.15,0,0,0,0,0,139.66,0,0,0,27.54,0,0,0,0,0
 10-12,0,0,0,0,13.16,0,0,0,0,0,106.34,5.29,0,0,0,0,8.18,0,0,0
 14-21,0,0,0,0,0.92,0,12.91,2,0,0,8.56,0,1.55,0,0,0,6.62,0,4.97,0
 24-34,0,0,0,1.97,0,0,27.76,0,0.85,0.6,25.98,0,6.93,0,0,0,0.97,0.74,25.41,0
 36-46,0,0,0,7.48,0,0.65,11.13,0,0.56,0,13.39,0,14.63,0,0,0,3.37,0,35.94,0
 48-58,0,0,0,0,0.64,0,9.8,0,0.79,0,8.33,0,13.97,0,0,0,0,0,19.76,0
 60-70,0,0,0,0.71,1.29,0,8.22,0,0,0,7.31,0,8.73,0.62,0,0,0,0,3.08,0
 72-82,0,0,0,0,0,0,6.31,0,1.51,0,3.52,0,24.5,0,0,0,0.86,0,0,0
 84-94,0,0,1.01,0,2.07,0,9.41,0,0,0,3.33,0,9.32,0,0,0,0,0,2.07,0
 96-106,0,0,0,0,0.77,0,2.72,0,0,0,8.19,0,22.12,3.34,0,0,0,0,1.63,1.13
108-118,0,0,0,0,0,0,0,0,2.01,0,5.35,0,8.95,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,9.31,0,21.72,0,13.14,4,0,0,0,0,1.34,0
