stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,58.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63,3.96,0,0,10.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,1.05,1.81,0,0,0,0,7.08,0,0,0,0,0,0,0,0,1.39,0,1.62,12.7,0,0,0,0,0,7.93,1.56,0,9.03,0,0,0,0
 24-34,0,0,0,4.57,3.37,6.73,0,0,0,225.17,0,0,0,4.33,0,0,0,0,4.95,2.04,6.58,84.12,2.7,0,0,0,0,401.64,0,0.63,127.97,0,1.57,0,0
 36-46,0,0.77,0,1.42,3.5,7.55,0,1.42,0,732.6,0,0,0,1.63,7.32,0,0,6.31,13.01,12.6,6.32,115.15,0,0,0,0,0,1098.83,0,1.73,132.96,0,2.87,0,0
 48-58,0,0,0,10.47,3.01,23.61,0,4,0,588.83,0,4.81,0,2.29,43.6,0.48,0,0,13.88,9.15,6.41,105.95,0,0.91,0.59,0,0,1059.16,0,0,221.47,0,3.65,0,0
 60-70,0,0,0,6.66,0,51.96,0,2.78,0,264.87,0,0,0,6.42,165.6,0,0,0,18.77,3.95,0,203.33,0.69,0,4.92,0,0,1086.38,0,0,114.5,0,0,0,10.95
 72-82,0,0,0,18.53,9.74,63.99,0,10.08,0,254.37,8.57,0,0,2.77,518.97,0,0,1.18,24.7,12.87,4.53,360.85,2.6,0,26.39,0,0,992.74,0,0,193.47,1.16,5.98,0,6.61
 84-94,0,0,0,54.33,3.15,84.39,0,12.88,0,287.95,7.62,0,4.49,11.25,1503.13,0,0,5.94,31.52,30.21,0,497.04,0,1.06,16.25,0,0,2747.84,0.93,0,119.04,0,3.26,0,80.22
 96-106,0,0,7.58,45.62,4.42,88.63,1.21,11.07,1.74,274.04,17.98,0,5.21,8.41,1109.47,0.63,13.43,0,25.07,21.82,0,570.02,0,7.63,40.36,0,2.22,2075.09,0,0,224.9,1.23,3.54,7.07,42.11
108-118,0,0.54,0,68.27,1.65,121.85,0,11.27,4.6,298.74,35.12,0,0.6,7.92,2731.66,0.66,8.64,5.7,33.28,26.46,3.89,786.75,0,2.32,19.87,0,0,1246.33,0,0.66,178.75,9.53,0.68,1.71,80.37
120,0,0,0,38.97,0,121.26,0,8.31,0,425.39,27.4,0,0,3.11,1070.85,0,0,0,29,5.46,0,1079.64,0,0,11.66,0,1.79,400.6,1.13,0,420.67,0,0,0,0
