stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0
  5-6,6.55,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.56,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.77,0,0,0,0,0,18.23,0,0,0,0,0,0,0,0
 10-12,0,5.25,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.52,3.92,0,0,27.15,0,14.71,0,0,0,0,0,0,0,0
 14-21,0,0,428.67,0.89,1.95,0,0.87,0,0,0,0.94,0,1.64,0,0,0,3.98,0,0,14.07,0.96,0,0,0,0,432.94,0.94,0,0,1.4,0,0,0,0
 24-34,0,0,521.77,0,21.7,0,25.76,0,0,1.99,0,0,4.93,0,0,1.75,11.74,0,3.62,95.01,2.13,2.12,0,0,0,690.92,0,0,0.9,11.4,0,3.38,0,0
 36-46,0,0,197.87,0,14.35,0,55.16,0,0,0,7.92,0,8.75,0.77,0,2.41,6.71,0,0,87.97,1.08,1.92,0.57,0,0,812.87,0,0,0,14.17,0,0,0,0
 48-58,0,0,77.58,1.19,44.63,0,50.49,0.41,1.43,0,22.12,0,1.01,0,0,1.95,3.25,0,2.14,61.55,0,1.26,0.92,0,0,314.32,0,0,0,14.32,0,0.41,0,5.51
 60-70,0,0,54.11,0,112.6,0,32.55,4.87,0.83,0.96,13.66,0,2.07,0.73,0,4.51,13.4,0,0,88,0,2.18,1.03,0,0,324.46,0,5.57,0,17.81,0,0,0,0
 72-82,0,0,16.26,1.46,126.93,0,12.84,0.71,6.37,10.2,3.4,0,8.08,1.05,3.8,4.9,26.86,0,1.95,97.14,0,1.9,0.76,0,2.01,182.76,0,1.56,0,11.76,0,0,1.37,7.57
 84-94,0,0,58.76,3.53,234.64,0,19.45,1.53,3.12,23.33,7.65,0,12.95,0.9,0,3.04,20.9,0,2.29,108.43,0,1.01,0.89,0,0,417.75,0,0.85,0,7.49,4.57,0,0,1.69
 96-106,0,0,48.37,18.43,217.99,0.93,26.29,1.81,5.34,28.34,0,0,12.36,0,11.09,12.5,19.39,3.48,0,96.54,0,2.1,0,0,0,507.15,0,2.8,0,7.49,5.07,0,0.96,9.55
108-118,0,0,62.66,0,353.27,0.76,28.94,7.89,14.96,39.07,0,0,12.97,0,0.87,12.05,9.01,0,0,198.25,0,5.72,1.89,0,1.97,437.17,0,5.53,0,9.87,1.09,0.62,0,0
120,0,0,113.31,0,120.02,0,34.65,1.44,0,31.68,0,1.31,1.81,0,0,8.09,26.39,0,0,282.72,0,4.39,0,0,2.54,392.31,0,10.75,0,21.58,1.63,5.77,0,0
