stage,axial,blastomeres,epidermis,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,3.16,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.2,0,0
 24-34,0,0,3.91,0,0,0,0,0,0.68,0.6,0,0,1.07,0,0,4.12,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,10.93,0,0,0
 48-58,0,0,0,0,1.2,0,0,0,0,0,0,0.61,5.37,0,0,1.13,0,0.41,0
 60-70,0,0,0,0,0,0,0,0,0,0,3.12,0,1.15,0,0,1.42,0,0,6.45
 72-82,0,0,0,0,0,0,0,0,0.49,0,0,0,6.23,0,0,4.83,0,0,0
 84-94,0,0,0.83,0.93,0,0,0,0,0,1.64,0,0,0,0,0,19.37,0,2.14,0
 96-106,0,0,1.9,0,0,0,0.72,0.74,0,1.42,0,0,0,0,0,9.95,1.71,0,0
108-118,0,0,2.92,0.66,0,0.62,0,0,0,0,0.77,0,0,3.95,0,17.83,0,0.64,0
120,0,0,9.65,1.53,0,0,0,0,0,14.33,0,0,0,0,0,13.45,0,0,0
