stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.51,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.41,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.91,4.31,2.17,0,0,0,1.67,0,0,1.92,0,0,0,0,0,0,0.82,0.95,0,1.52,15.98,0.97,0,0,0,0,6.59,4.25,1.37,15.78,7.43,5.12,0,0,0
 24-34,0,0,4.61,8.49,0.68,0,0,2.57,0,0.76,0,0,1.12,0,0,0,0,5.23,0.69,0,5.72,85.98,2.62,0,0,0,0,3.92,0,0.6,69.39,1.26,23.83,0,1.08,0
 36-46,0,0,1.82,7.79,0.76,0.58,0,0.61,0,0,0,0,0,0,0,0,0,9.27,0,0,0,108.91,0,0,0,0,0,23.97,0,0,109.18,0,22.67,0,0,0
 48-58,0,0,3.87,12.72,0.79,1.2,1.74,1.98,0.43,0.75,0.94,0,0,0,0.77,0,0,4.14,0,0,2.06,78.2,6.45,1.85,0,0,0,3.78,0,0,61.41,0,12.59,0,0.42,0
 60-70,0,0,3.27,52.46,8.44,0,1.47,7.07,1.43,0,0,0,0,2.88,0,0,2.31,19.35,0.73,0,8.02,133.65,0,0,0,0,0,6.87,0,0,56.32,0,15.18,0,0.73,0
 72-82,0,0,1.55,41.23,2.82,0,0,4.95,0.76,0,0,0.49,0.6,0,0,1.54,0,21.2,0,0,0.83,72.06,0,0,0,0,0,3.97,0,0,23.4,0,7.62,0,6.09,0
 84-94,0,0,5.31,9.49,5.99,0.68,0,3.29,1.58,0,0,0,0.67,1.41,1.2,0.68,0,9.07,0,0,0.6,58.22,1.33,0.9,1.34,0,0,5.86,0,0,34.76,0,5.87,0,0,0
 96-106,0,0,0.57,35.75,4.83,0,1.72,6.53,0.75,0,0,1.18,0,1.25,0.58,0,0,14.99,1.13,1.03,0,65.11,0.57,0.6,2.73,1.2,1.6,12.63,0,0,14.7,0,4.25,0,1.72,1.67
108-118,0,0,3.48,33.19,10.49,0.52,0,2.38,0,0,0,1.58,0.6,0,0,0,0,9.72,0,0,0.45,48.64,0.41,0,1.86,8.11,0,4.35,0,0.44,22.97,0,0,1.04,0,0
120,0,0,2.98,6.93,4.72,4.85,0,27.17,4.3,0,0,1.19,0,0,0,0,1.33,20.74,0,0,2.52,66.45,0,0,11.38,0,0,2.97,0,0,14.72,0,0,0,0,0
