stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2.94,0,0,0,0,0,0.81,0,0,0,0,2.4,0,0,0,10.34,0.94,0,0,1.25,0,0,0.83,1.59,0,0
 24-34,0.65,8.5,0,4.29,0,0,0,0,0,0,0.72,0.7,3.17,0,0,3.1,46.13,0,1.23,0.82,6.1,0,0,0.62,16.76,0.88,0
 36-46,0,1.42,0.9,4.33,0,3.16,1.99,0.56,0,0,0,0,2.31,0,0,5.09,29.79,0.55,0,0,12.17,0,0,0,2.35,0,0
 48-58,0,0,0.39,11.31,0,0,1.36,0,0,0,0,0,4.13,0,0,0,35.6,0,0,0,1.25,0,0,0,3.06,0,0
 60-70,0,4.47,0,9.05,0,0,7.59,0,0.92,0,5.99,0,23.51,0,0,0,28.27,0,0,1.81,3.13,3.39,0.71,0,8.8,0,0
 72-82,0,0,0,11.28,1.17,0,2.61,0,0,0,0,0,8.18,0,0,0,42.06,0,0.6,0,7.26,0,0,0,0.61,0.62,0
 84-94,0,1.56,1.06,8.32,0,0,0,0,0,0,0,0,4.83,1.53,0,0.58,6.95,0,0,0.87,3.26,0,0,0,5.05,0,0
 96-106,0,0.79,0,0,0,0,2.8,0,0,0,0,0,6.83,0,0,0.7,14.64,0,0,0,1.22,0,0,0,0,0,0
108-118,0,1.39,0,5.97,1.04,0,0,2.58,0,0.75,0,0,9.09,5.12,1.06,0,15.69,0,0,2.5,6.51,0,0,0,0,0,0
120,0,4.77,1.36,24.39,1.75,0,17.18,0,0,0,1.4,0,3.23,0,0,0,56.26,0,1.26,0,2.83,0,0,0,0,0,4.77
