stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.1,4.43,0.92,0,0.88,0,0,0,0,0,0,0,0.82,0,0,0,3.43,0,0,0.84,27.94,0,0,0,1.03,0,5.88,4.66,1.22,6.06,10.07,0,0,1.23,0,0
 24-34,0,0,4.08,0,0,2.59,0,0.83,0.69,0,0,0,0,0,0,0,0,11.32,0.87,0.89,4.37,80.64,0.63,1.32,0,0,0,7.58,0,0,1.37,44.72,0,0,12,0,0.61
 36-46,0,0,0,1.22,0,4.39,0,0,0,1.43,0,0,0,0.56,0.72,1.07,0,16.92,0,3.69,0.72,120.37,0,0,0,0,0,18.56,0,0,0.8,93.82,0,0,1.42,0,0
 48-58,0,0,0.42,0,0,19.83,0,0,0,9.15,0,6.74,4.33,0,0.49,1.02,0.51,15.22,0.53,0,1.04,163.77,0,0.78,0,0,0,3.01,0,0,0,68.61,0,0.61,0.8,0,3.77
 60-70,0,0,1.29,0,0,35.5,0.68,1.09,1.67,26.66,0,0.77,0,0,0.8,0,0.71,7.57,0,1.05,0,290.95,0,4.09,0.72,0,0,4.44,0,0,0,95.48,0,0.82,0.93,0,6.81
 72-82,0.56,0,2.21,5.31,0,35.35,0,0,0,8.61,0,0.88,0.58,0,1.1,0,0,22.17,0.73,2.9,0,250.59,5.11,1.74,0,0,5.5,4.16,0,0,0,84.48,1.33,0.93,1.07,1.31,1.18
 84-94,0,0,3.48,0,0,38.23,0,0.63,0,6.93,1.35,2.41,0.58,0,0,0,0,16.57,0,9.08,1.94,197.54,0.67,0,1.42,0,0,4.34,0,0,0,52.24,0,0,2.55,5.19,0
 96-106,0,0,6.63,0,0,71.75,0,2.56,0,24.68,0.7,7.63,3.83,0,2.81,0,0,24.12,0,4.35,2.49,189.27,0.57,3.03,0,0,30.47,4.19,0,0,0,29.36,2.28,0,2.09,0.66,0.86
108-118,0,0,3.03,0,0,52.94,0,0.61,0,23.66,0.82,2.65,4.47,0,0,0.56,0,17.1,2.59,8.82,1.69,218.22,0,0,0.91,0,9.4,5.65,0,0.42,0,45.11,0,0,4.45,5.04,0.51
120,0,0,8.69,0,1.6,28.32,0,6.18,0,14.71,0,6.79,1.43,0,0,3.84,0,55.39,0,20.5,0,507.91,0,0,2.59,0,8.11,4.23,0,0,0,35.36,0,0,2.93,0,0
