stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22,0,0,0,8.61,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,88.63,0,0,0,0,1.01,0,0,0.81,91.64,0,0,0,0,0
 24-34,0,4.03,5.31,0,7.18,0.91,0,0,1.25,0,0,0,0,0,0,0,0,2.03,0,0,11.19,1364.96,0,15.53,0,0,1.97,0,0,0.69,346.45,0,0,8.54,0,0
 36-46,0,0.85,2.92,0,40.23,1.63,0,0,6.19,0,0.57,0,0,0,0,0,6.95,3.55,0,0,1.09,3865.75,0,36.47,0,0,3.16,0,0,0,561.11,0,0,0.71,0,2.32
 48-58,0,0.91,14.65,0,237.65,1.63,8.28,0.42,84.62,0,0,0,0,7.73,3.35,0,2.48,30.88,0,2.1,16.76,6305.9,0.4,19,0.52,0,8.03,0,0,0,731.49,0,0,4.38,0,8.02
 60-70,0,0.89,5.82,0,736.64,0,1.18,1.99,149.6,0,0,1.06,0,0,0.73,0,0,19.92,0,39.46,4.96,8163.72,1.33,27.37,2.23,0,5.41,0,0,0,863.62,0,2.01,3.87,1.06,9.55
 72-82,0,0.64,28.82,6.48,848.7,1.52,0,0,187.4,0.49,2.34,6.84,0,2.2,0,1.54,0,28.14,1.69,3.82,5.15,7413.98,0,24.73,1.4,0,1.9,1.46,0,0,639.52,0,1.07,0.72,14.85,5.87
 84-94,0,0,27.75,1.1,708.87,0,0.66,1.85,119.27,1.94,0,0,0,0,0,1.67,0,36.32,0,4.85,8.31,4556.33,0,4.77,1.22,0,1.11,0,0.64,0,413.93,0.66,0,1.73,22.21,3.31
 96-106,0,0,31.92,6.04,494.89,0,1.25,2.36,92.74,4.7,0,0.78,0,0,0,0.7,0,15.36,0,0.62,2.43,3838.68,0.57,16.15,3.22,0,11.64,0,0,0,168.66,4.07,2.14,1.33,28.83,3.36
108-118,0,4.94,29.45,3.69,486.95,0,2.46,0.56,119.2,4.92,0,0,1.01,0,0,0.56,0,38.53,4.54,2.48,0.9,3826.45,0,14.5,0,0,10.98,0,0,0,175.26,3.18,0,2.13,13.47,3.13
120,0,0,50.39,4.9,791.82,0,3.75,10.32,159.65,0,0,7.45,0,0,0,3.92,0,33.95,0,0,0,7226.49,0,26.19,0,0,6.14,0,0,0,195.98,0,0,19.7,39.12,13.4
