stage,epidermis,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,103.18,0,0,19.52,0,3.73,0,0,0,0
 10-12,0,0,0,0,178.44,0,0,12.96,0,0,0,0,0,0
 14-21,0.8,0,0,0.85,180.36,0,0,22.67,0,0,1.22,1.28,0,5.27
 24-34,0.99,0,0,0,41.35,1.24,0.64,7.64,1.22,0,0,0,0,1.15
 36-46,0,0,0,0,6.48,2.61,0,0.76,0,0,0,0,0,0
 48-58,0,0.73,0,0,0,0,0,3.11,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.87,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0
 96-106,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0
