stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.05,4.19,0,0,18.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,14.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.94,0,0,2.81,0,0,0,1.22,0,0,0,0,0,0,2.95,0,0,6.5,30.2,1.68,0,0,1.09,0,0.85,0,0.86,6.82,0,0,0,0
 24-34,0,0,0,3.58,0,0,6.96,0,0,0,0,0,0,0,0,0,0,14.74,6.69,0,3.84,60.16,1.9,0,0,0,0,0,3.09,0,8.08,0,1.01,0,0
 36-46,0,0,0,7.04,0,0,6.23,0,0,0,0.63,0,0.67,0,0,0,0,6.03,0,4.9,6.4,55.72,0.57,0,0,0,10.74,0,0,0,15.57,5.7,0.8,0.78,0.67
 48-58,0,0,0,4.84,0,0,13.92,0,0.39,2.57,3.69,0,2.88,2.06,0,6.84,1.05,6.59,0,0,0.51,38.6,0,0,0,0,0,0,0,0,3.99,0,0,0,0
 60-70,0,0,0,4.44,0,0,29.08,0,0,1.47,12.51,0,0,4.75,1.16,0,0,4.61,0,1.32,2.69,64.77,0,0,0,0,1.98,0,0,0,5.6,1.31,6.97,0,0
 72-82,0,0,0,2.2,0,0,14.23,0,0,0.54,23.26,1.97,1.15,1.71,0,0,0,18.71,0,1.82,1.46,115.58,0.53,0,1.63,0,0,0,0,0,4.48,2.13,0,0.58,0
 84-94,0,0,0,2.98,0,0.6,16.43,0,0,1.74,2.09,0,0,4.48,0,0,0.69,24.77,2.4,0,0.75,73.98,0,0,2.01,0,0,0,0,0,4.39,3.71,7.74,1.09,0
 96-106,0,0.9,0,0.57,0,0,6.46,0,0,0,8.83,0,0,0,0,0,0,20.94,0,2.29,0,50.77,0,0,0,0,0,0,0,0,0.64,0.75,0,2.98,0
108-118,0,0,0,0,0.92,0,12.57,0,0.62,0,6.99,0,0,0,0,0,0,10.51,0,1.7,0,70.28,0,0.55,0,0,0,0,0,0,4.57,0,0.81,0.48,0
120,0,0,0,2.14,1.33,0,4.57,5.49,1.55,0,5.31,0,0,0,0,0,0,37.35,0,0,1.83,67.81,9.28,0,1.43,0,0,0,0,0,0,0,16.38,0,0
