stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,78.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51,4.81,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.33,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.06,0,0,0,0,0,3.33,0,0,0,13.17,0,0,0,0,0
 24-34,0,0,0,25.37,0,0,18.67,0,0,0,0.67,0,0,0,0,0,0,3.1,0,0,4.83,0,0,0.67,631.86,0,0,0,0,0,5.55,0,0.72,0,128.79,0,0,0,0,0
 36-46,0,0,0,9.37,0,0,12.04,0,0,0,0,0.58,0,0,0,0,0,0.71,0,0,1.01,0,4.95,0.95,1358.73,0.58,1.76,0,0,0,12.79,0,0.75,0,276.14,0,0,0,0,0
 48-58,0,0,0,14.79,0,0,73.86,1.76,0,0.39,5.77,2.21,0.42,0,0,0,0,0,5.57,0,21.86,2.57,13.27,0.98,1855.06,8.42,0,7.9,0,0,35.47,0.65,4.97,0,218.82,0,0,0,0,0
 60-70,0,0,0.86,20.17,0,0,91.28,3.41,6.78,4.45,22.6,0,0,2.11,0.7,0,0,4.25,0,8.58,8.72,0,27.47,1.19,3517.69,0,0,1.03,0,0,49.44,0,0,8.52,345.7,0,9.25,0,1.85,4.37
 72-82,0,0,7.43,13.04,4.02,0,149.48,0,2.39,0,43.68,3.18,0,0,1.51,0.52,1.13,0,0,0,39.7,3.61,21.43,1.08,3603.17,0,3.45,1.53,0,0,78.41,0,1.95,0,228.53,0,14.47,2.23,20.79,10.19
 84-94,0,0,18.85,31.95,0.84,1.39,141.17,0,1.78,0,57.83,9.99,0,0,0.73,2.4,0,0,0,0,33.65,0,13.43,3.11,2319.22,0,5.31,2.67,0,0.91,140.57,0,5.6,0,155.03,1.79,27.23,0,10.3,0
 96-106,0,0,18.58,13.06,0,0,116.95,0,1.19,8.3,44.95,9.76,0,0,0.9,0,1.71,2.15,8.27,0,27.35,3.68,3.52,1.38,1762.32,0,3.08,2.94,0,0,166.66,0,0.63,0,92.23,0,9.71,3.37,27.94,0
108-118,0,0,9.74,15.43,2.75,2.73,112.37,0,3.99,0,37.84,13.1,0,0,1.59,4.24,1.01,1.23,0.56,0,24.16,1.16,13.61,1.69,2107.55,0,7.62,2.59,0,0,195,0,3.37,0,82.18,0.42,4.75,0.99,16.64,0.63
120,0,0,49,25.69,8.16,0,319.48,0,4.39,1.58,93.19,52.83,0,0,8.24,0,0,0,18.25,0,79.93,1.49,15.71,0,5839.34,2.06,8.31,14.75,0,33.28,166.43,0,16.07,0,141.69,1.94,8.57,0,61.56,0
