stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.98,7.38,2.97,1.19,0,0,28.44,0.9,0,0,0,0,0,0,0,5.57,0,0,4.17,62.07,1.23,1.44,1.14,0,0,3.08,19.4,5.09,97.45,0,0,0,0,0
 24-34,0,0,0.74,0,4.36,0,0,20.47,0,0,0,0,0,0.75,0,0,8.08,0,0,9.81,106.89,0,24.76,1.05,0,0.96,0,13.36,1.27,54.05,0,0,6.27,0,0
 36-46,0,0,0.65,0,11.09,0,2.84,20.07,0,0,0,0.68,0,0,0,0,8.54,0,6.59,0.78,130.78,0.61,36.38,0.8,0,0.93,0,7.86,0,57.07,0,0,2.55,0,0
 48-58,0,0,2.36,0,18.56,0,0,11.35,0.64,0.54,0,0,0,0.41,0,0.97,7.33,0,0,1.72,64.85,0,11.54,0,0,0.79,0,0.49,0,57.11,0,0,0,0,1.08
 60-70,0.57,0,0,1.17,56.17,0,1.58,12.16,0,0,0.57,0,0,1.44,0,0,16.43,0,0,0.74,77.22,0,24.85,2.3,0,0.57,0,2.66,0,40.16,0,0,1.72,0,17.21
 72-82,1.48,0,1.9,6.56,42.58,1.07,1.16,17.09,0.84,1.32,2.02,0,0,2.01,0,0,12.55,0,0.56,0.68,115.78,0,31.86,7.42,0,0,0,0,0,56,0,0.75,0,0,3.67
 84-94,0.94,1.01,2.35,0.64,38.53,0.97,0,17.13,0.73,0,1.44,0,1.64,0.8,0,0,35.74,0,2.99,0,80.13,0,29.19,7.07,1.31,3.51,0,2.25,0,39.59,0.55,1.95,0,3.56,1.48
 96-106,0,0,4.06,5.12,28.13,0,0,11.93,0.83,3.11,0,0.65,2.59,5.82,1.2,0,23.38,3.51,0,1.78,52.46,0,16.1,14.45,0,5.58,0,0,0,4.47,0,1.03,0,0,6.89
108-118,0,0,1.59,5.45,22.65,0,3.21,16.59,3.25,0,0.98,0,4.11,3.77,0,0,17.68,0,0,0.52,80.74,0,52.65,8.98,1.1,1.82,0,1.41,0,4.51,1.69,0,2.71,0,14.87
120,0,0,1.46,12.58,18.58,0,0,15.65,8.89,0,0,0,0,1.15,0,1.51,36.81,0,0,1.9,123.44,0,9.42,21.83,0,0,0,5.04,0,33.6,0,0,0,8.42,4.37
