stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord
  3-4,0,187.43,0,0,0,0,0,0,0,0,0
  5-6,13.97,114.28,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,21.14,9.89,0,0,0
 10-12,0,0,0,0,0,0,58.39,3.67,0,0,0
 14-21,0,0,2.02,6.55,1.08,0.87,43.09,0,0.92,3.62,3.54
 24-34,0,0,0,8.67,0,1.99,38.59,0,0,0.64,4.53
 36-46,0,0,0,2.89,0,0,22.1,0,0,0,0
 48-58,0,0,0,14.21,7.53,1.13,11.68,0,0,0,0
 60-70,0,0,0,6.46,0,0,4.34,0,0,0,0
 72-82,0,0,0,7.32,3.99,1.37,10.9,0,0,0,0
 84-94,0,0,0,1.21,0,1.01,3.22,0,0,0,0
 96-106,0,0,0,4.61,3.37,0,2.63,0,0,0,0
108-118,0,0,0,4.21,7.14,0,2.58,0,0,0,0
120,0,0,0,1.85,0,0,1.4,0,0,0,0
