stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,47.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.28,57.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,0,0.65,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.38,0.86,0,0,0,2.83,0,0,0,3.05,2.68,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.4,3.69,5.66,0,2.09,0,7.4,2.18,0,0,0,0,353.62,6.88,1.59,0,0.57,33.2,0,0,0,0,0,0,0,0.51,0,0,0,0
 84-94,0,0,0,0.62,6.15,1.1,16.09,0,0,0,3.04,3.91,2.72,0,0,0,1509.22,2.19,0,0,1.77,63.1,2.22,0,0,10.42,2.63,0,0,2.36,0,0,0,1.21
 96-106,0,0,0,14.58,15.87,6.02,64.32,0,1.4,0,10.14,11.45,4.24,0,0,1.71,2378.05,31.51,0,2.66,0.79,262.86,0.75,0,0,17.96,12.93,9.08,9.17,0,1.88,12.09,0.89,9.14
108-118,0,0,0.52,18.65,6.41,5.09,66.43,0.75,0.55,0.74,15.57,2.51,4.52,1.24,3.63,1.38,4825.2,38.83,0,0,2.09,261.96,0,2.13,6.45,7.19,6.22,0.44,0,0,1.8,2.51,2.83,4.5
120,0,0,0,7.4,4.45,0,8.07,0,0,0,17.28,1.14,0,0,0,0,1985.96,15.6,0,0,0,190.15,0,0,0,3.49,1.58,0,0,0,0,0,1.05,0
