stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.11,320.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900.29,0,0,0,0,0,0,0,0,0
  5-6,37.93,298.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.28,0,0,0,0,0,3576.97,0,0,0,0,0,0,0,0,0
  7-9,0,21.78,6.21,0,0,0,24.65,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,227.15,0,0,0,40.57,0,247.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.34,0,5.53,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.57,10.13,0,0,53.26,0,67.05,0,8.34,0,0,0,0,0,0,0
 14-21,0,0,0,3.22,2.94,0,2.77,0,0,0,0,0,0,0,0,0.88,0,0,0,2.6,2.6,0,1.05,45.62,2.44,0,0,0.91,0,784.9,10.71,0,7.57,8.25,0,0,0,0,0
 24-34,0,0,1.37,17.9,1.05,0,13.28,0,4.71,0,4.05,2.53,0,0.82,0,15.12,2.16,1.9,0.65,24.5,38.86,0,4.43,268.96,1.15,4.79,0.67,0,0,3302.16,1.5,0.93,2.63,24.61,0,0,5.45,0,0.77
 36-46,0,0,0,70.6,0,0,19.28,0,20.27,0,3.63,0.56,0,0.63,1.64,28.24,0,1.24,10.06,21.8,55.91,0,6.8,167.7,1.86,13.78,0,0,0,4481.57,0,1.1,2.35,54.55,0,0,0.72,0,2.61
 48-58,0,0,0,111.14,0,0,35.61,0.45,30.04,0,11.43,0,0,5.13,15.38,15.64,1.96,0.5,0,19.21,29.4,0,4.12,152.88,0,4.46,0.47,0,0,2689.06,0,0,0,34.62,0,0,0.45,0,8.24
 60-70,0,0,0,273.48,0,0,129.15,2.93,47.83,10.49,40.66,1.06,0,0,23,60.14,0,0.6,0,46.13,10.37,0.66,0,191.95,0,9.66,0,0,0,5601.47,0,2.14,0,23.32,4.88,3.05,11.15,0,11.18
 72-82,0,0,0,464.64,3.34,0.76,70.62,0,31.48,0.64,11.43,22.43,2.93,1.77,34.12,76.9,0,5.81,1.65,29.72,16.43,0,8.55,187.37,4.45,10.72,1.12,0,0,2347.68,0,3.17,0,16.42,19.19,3.36,13.75,2.44,1.88
 84-94,0,0,0,1035.63,13.89,0,71.5,0,115.04,5.59,9.72,46.98,0,0,28.26,241.42,2.36,4.55,0,34.78,72.61,0,4.87,76.26,0,30.37,2.65,0,0,7154.77,0,16.3,0,15.31,60.92,1.25,14.55,0,10.65
 96-106,0,0,0,1610.55,57.15,3.86,301.73,1.59,246.43,1.35,33.8,100.5,0,3.55,49.41,530.96,4.84,12.24,23.64,73.8,148.58,6.71,12.94,369.08,0,40.91,3.96,0,3.44,12644.21,0,15.53,0,5.77,74.57,0,16.83,3.47,9.95
108-118,0,0,0,1206.81,13.6,9.92,87.67,3.88,298.03,10.98,43.49,73.75,0,1.42,57.19,382.33,0.71,10.37,17.82,59.26,162.79,4.79,2.47,202.51,0.54,50.16,1.34,0,0,8625.51,0,16.96,0,4.95,41.07,1.6,11.69,12.96,2.65
120,0,0,0,867.7,6.6,0,52.66,0,257.7,0,12.11,40.37,0,0,50.16,266.73,4.78,14.09,6.48,21.57,86.2,0,16.09,214.65,2.89,8.93,11.98,0,7.06,5199.46,0,16,0,2.96,14.13,0,22.69,2.27,3.85
