stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0,15.48,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.84,2.51,199.09,0,0,0,0,0,0,0,0,0,0,0,23.46,0,10.05,6.15,1.13,0,0,0,0,6.66,0,4.15,0,0,0,0,0
 24-34,0,0,2.21,0.83,231.42,5.65,0.85,0,0,0.69,3.07,0,0.89,0,0,0,5.29,0,0.71,32.68,0,0,0.74,0,0,11.58,0,7.25,0,0,0,0,0
 36-46,0,0,0,15.13,76.42,0.64,0,0,0,1.8,0,0,0.77,1.76,0,0,2.42,0.87,0,22.19,0,1.91,0.8,0,0,57.95,0,5.26,0,0,0.89,0,0
 48-58,0,0,1.07,1.54,70.12,4.03,0,0,4.42,13.46,0,0,0.39,0,0,7.29,1.13,0,1.75,15.95,0,1.29,0,0,0,39.67,0,8.41,0,0,0,0.9,0
 60-70,0,0.65,0,0.76,13.81,13.62,0.59,1.14,1.77,33.88,0.76,0,0,0,0,0,6.1,2.44,0,12.96,0,0,0,0,0,16.21,0,6.34,0,0,0,0,9.28
 72-82,0,4.23,0,3.96,17.72,10.88,0,0.96,1.23,51.7,0,0,0,0,0,1.08,7.52,0,1.51,17,0,1.18,0,0,0,18.54,0,2.38,1.42,0.67,0,0,0
 84-94,0,1.79,0,7.18,16.11,23.45,0,2.76,2.2,144.32,0,0,0,1.32,0,0,0.67,0,1.33,32.92,0,0,0,0,0,27.09,0.6,0,3.89,0,0.62,0,0
 96-106,0,4.95,0,2.84,33.85,12.1,1.84,0,1.31,86.93,0,0,2.46,0,1.03,6.97,14.28,0,0,66.44,0,0.93,0,0,0,33.88,0,4.22,0,0,0,0,0
108-118,0,3.98,0.88,4.28,60.46,16.7,0,0,1.83,61.03,0,0.75,1.86,0,0,0,8.18,0,0,32.27,0,0,0.99,0,0.91,18.77,0,0,0,0,0,0.7,0
120,0,0,0,14.05,34.22,0,4.23,0,6.49,38.97,0,1.11,1.07,0,0,0,0,1.1,2.36,18.38,0,0,2.14,0,0,43.62,0,0,0,0,0,0,2.08
