stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,299.09,3645.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.83,0,0,0,0
  5-6,1868.37,11712.85,825.05,0,0,0,0,0,0,0,0,0,0,0,5960.83,0,6.56,6.16,0,0,0,0
  7-9,20.39,5.88,23545.33,0,0,52.61,0,0,0,0,168.31,0,0,0,12417.49,12.51,81.62,0,4.3,0,0,0
 10-12,0,0,3340.43,0,0,41.96,0,0,0,0,3.04,0,0,0,1949.32,0,59.17,0,0,27.63,0,0
 14-21,0,0,0,2.53,4.28,0,0,0,0,0.81,0,0,4.24,0,0.9,0,0.97,0,0,0,0,0
 24-34,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0.77,13.44,0,0,0,0,0,0,0.86
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.85,0,0,1.04,0,0,8.61,0,0,0,0,0,1.47,0
 60-70,0,0,0,7.3,0,0.7,0,0,1,0,0,0,1.17,0,9.28,0,0,0,0,0,3.69,0
 72-82,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,9.29,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.82,0,0.9,1.1,0,0,0,0,0,5.45,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.81,4.23,0,0,0,0,0,0.75,0,7.87,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.54,0,0,0,0,0,0,0
