stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,57.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.54,0,0,0,0,0,0,0,40.39,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.11,0,0,3.16,0,0,0,0,19.45,0,0,0,0,6.88,0,0,0
 14-21,0,1.16,0,0,0,0,0,0,0,0,0,0,4.08,0,0,0,1.04,0,2.8,0,0
 24-34,0,1.11,0,0,0,0,0,0,0.61,0,0,0,4.1,1.06,0,2.85,0,0,3.77,0,1.08
 36-46,0,1.24,0,0,1.32,0,0,0,0,0,0,0,12.75,0,0.71,9.91,0,0,0.68,0,0
 48-58,0,1.24,0,0,0.4,0,0,0,0,0,0,0.46,4.95,0.85,0.5,6.06,0,0,2.49,0,0
 60-70,0,10.02,0,0,1.49,0,0,0,0,0,0,0,10.47,0,0,0.7,0,0,0,0,0
 72-82,0,0,1.61,0,0,0,0,0,0,0,0,0,4.98,1.78,1.32,0.49,0,0,0,0,0
 84-94,0,2,0,0,1.68,0,0,0,0,0,1.81,0,0,0,2.48,4.52,0,1.07,0,0,0
 96-106,0,1.45,0,0,0,0,1.17,0,0,0,0,0,9.41,0,0,2.24,0,0,0,0,0
108-118,0,0.74,1.08,0.46,1.03,1.27,0,0,0,1.18,0,0,0,1.44,0.48,0,0,0,0,0,0
120,0,1.09,0,0,0,0,0,0,0,0,0,0,0,12.69,0,3.06,0,0,0,6.74,0
