stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,96.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,242.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0
  7-9,10.28,0,0,0,0,4.25,0,0,9.2,0,0,0,0,0,0,148.91,0,0,0,4.32,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,7.69,0,0,3.5,0,0,0,0,0,0,65.03,0,0,0,35.3,0,0,13.81,0,0,0,0
 14-21,0,0,0,0.85,0.94,0,15.52,0.97,0,0,0,0,0,0,0,19.91,0,1.51,7.74,2.99,0,1.28,32.76,0,101.19,0,0
 24-34,0,0,0,8.52,0,0,31.45,0,0,0,0,0,0.66,0.93,0,12.64,0.7,21.78,0,0,0,0,12.62,0.71,44.35,0,0
 36-46,0,0,0,0,0,2.06,10.04,0,0,0.93,0,0,8.04,4.75,0.64,33.81,0,13.96,0,0,0,0,8.35,0,50.28,0,0
 48-58,0,0,0,0,0,0,15.5,0,0,0,0.4,0,0,0.83,0,40.31,0,26.69,2.08,0,0,0,1.18,0,38.72,0,0.55
 60-70,0,0,0,0,0,0.63,9.57,0,0,0.58,0,0,0,13.77,0,60.75,0,12.51,0,0,0,0,4.97,0,25.04,0,0
 72-82,0,0,0,0,0,5.82,29.38,2.5,0,0,0,0,0,4.39,0,60.48,0,26.41,4.52,0,0,0,0,0,7.17,0,4.07
 84-94,0,1.18,0,0,0,2.05,20.08,5.07,0,0,0.63,0,0,4.36,0,30.42,0,10.86,8.42,0,0,0,0.74,0,19.92,1.04,0
 96-106,0,0.74,0,0,0,0.72,3.85,4.84,0,0,1.62,4.97,1.06,2.37,0,41.5,0,16.2,5.98,0,0,0,0.77,0,2.93,0,0
108-118,0,0,0.77,1.21,0.42,2.63,5.25,0,0,1.9,2.14,0,0,3.24,0.59,24.94,0,17.14,6.09,0,0,0,2.47,0,16.9,0,0
120,0,11.35,0,0,0,0,1.51,3.22,0,0,0,0,0,2.5,0,36.3,0,48.53,1.51,0,0,0,11.9,0,7.51,0,0
