stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,260.51,4530.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.52,0,0,0,0,0,0,0,0,0,0,0
  5-6,154.3,2236.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.07,0,0,0,8.57,26.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,3.5,0,0,15.84,0,0,0,0,0,8.43,0,0,0,0,0,0,0,0,0,0,0,106.82,3.27,0,0,36.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,5.18,8.71,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0,0,0,0,181.12,3.99,0,0,95.68,0,11.92,0,3.64,0,16.93,0,0,0,0,0,0
 14-21,0,0,0,16.03,0.82,13.05,0,0.88,0,0,0,0,0,0.97,0,0,0,0,1.65,3.01,0,0,2.18,91.96,5.51,0,1.09,5.78,0,0,19.54,0,2.45,31.31,26.2,0,0,0,0,0
 24-34,0,0,0.7,28.86,0.65,15.76,0,0,0,0.68,1.01,0,0,2.9,0.65,4.08,0,0,0.8,13.75,0,0,5.38,180.61,0.67,1.59,4.94,0,10.4,0,1.1,0,0,5.08,44.21,0,0,4.46,0,2.59
 36-46,0,0,0,3.59,1.1,31.73,0,2.65,0,5.52,0,0.59,0,0,0,0,0,8.72,0,12.26,0,0,3.56,166.07,0.57,0,2.21,0,4.13,0,0,0,0,0,34.38,0,0,0.96,0,0
 48-58,0,0,0,3.79,0,52.62,0,0,1.29,7.9,0.43,0,0.44,0,0,0,0.73,0,0,24.71,0,8.25,6.39,131.86,0,0,2.03,0,4.04,0,0,0,0,0,33.9,0,0,4.71,0,0
 60-70,0,0,0,19.46,0,101.7,1,8.27,2,11.86,4.51,0,0,0,2.43,0,0,1.51,0,17.07,0,1.38,8.19,154.68,0,2.52,0,0,2.94,0,0,0,1.91,0,24.27,0,0,5.56,0,0
 72-82,0,0,0,14.61,3.69,31.37,0,1.19,3.88,19.31,3.08,0.59,0,0.58,0,0.93,0,1.36,0,28.6,0,0,3.02,103.42,0,0,2.28,0,2.24,0,0,0,0,0,12.5,0,1.69,9.84,0,1.89
 84-94,0,0,0,10.39,2.35,32.98,0,1.87,4.9,7.51,2.15,0,0.78,3.96,1.87,0,0.69,0.63,0,23.7,2.88,1.77,7.25,87.77,0,0,0.62,0,16.81,0,0,0,0,0,19.18,0.55,0,6.56,1.33,6.94
 96-106,0,0,0,9.5,0,41.29,0,1.33,2.14,32.03,4.68,0,2.17,3.44,2.37,1.36,0.71,0.72,0,52,0.83,1.1,0.67,109.37,0,2.56,2.64,0,14.27,0,0,0,0,0,13.24,0,0,0.66,0.64,13.15
108-118,0,0,0.74,28.38,7.26,30.36,0.67,5.38,2.73,25.53,3.7,0,0,5.09,1.63,0,0,0.45,2.48,45.37,0,1.35,6.11,121.92,2.86,0,1.49,0,18.22,0,0,0.53,0.63,0,9.99,0,1.18,11.54,0,8.84
120,0,0,0,47.34,2.42,15.49,0,5.58,3.06,17.18,9.62,0,0,21.74,3.69,0,0,0,0,41.97,0,0,8.68,162.69,4.03,0,0,0,9.79,0,0,2.27,0,0,15.2,0,0,17.7,0,14.33
