stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.18,1.9,0.81,0,0,0,0,4.94,0,1.07,0,0,0,0,0,0,1.12,0,0,0,27.61,0,0,0,0,3.21,1.38,0,0,0.84,6.42,0,1.05,0,0
 24-34,0.6,0,5.57,0,4.52,0,0,2.28,0,0,0,0,0,0,0.74,0,5.35,0.61,0,6.12,221.51,2.24,0,0,0,3.92,0,0.66,1.35,0,40.65,0,7.83,0,0
 36-46,0,0,0,0,19.72,0,1.85,19.52,0,0,0,0,0,0,0,0,14.37,0,0,4.11,159.87,0,2.16,0,0,2.04,0,0,0,0,34.5,0,4.12,0,0
 48-58,0,0,0,0,58.94,1.35,0.37,10.65,0,0,0,0,0,0.5,0,0,3.86,0,0,0,161,1.2,0,0,0.97,2.56,0,0,0,0,25.96,0,8.67,0,0
 60-70,0,0,8.19,0,27.49,0,5.27,7.96,0,0,0,0,0,0,0,0,9.97,0,0,0,121.94,0,0,0,0,3.84,0,0,0,0,20.51,0,0,0,0
 72-82,1.31,0.75,1.99,0,78.48,7.1,0,25.92,0,0,0,0,0,0,0,0.49,22.65,0,1.15,2.07,207.35,0,0.74,0.51,0,1.03,0,0,0,0,66.96,0,2.94,2.2,0
 84-94,0.84,0,2.48,0,48.48,0,0.86,9.86,0,0,1.96,0,5.42,0,0.57,0,15.5,0,0,0,66.55,2.04,2.48,0,0,17.64,0,0,0,0,17.84,0,11.67,0,0
 96-106,0,0,4.35,0,42.77,1.54,0,11.67,0,0,0,0.65,0,0,0,0,6.62,0,0,0,68.39,0,6.15,0.64,0,12.53,0,0,0,0,6.59,1.03,0.59,0,1.98
108-118,0,0,5.58,1.14,21.41,0,0.6,6,1.6,0,0,0,0.59,0,0,0,24.49,0,0,1.16,81.09,0,1.31,3.33,0,2.65,0,0,0,0,0,0,2.68,0,5.08
120,0,0,3.56,0,11.09,0,0,40.34,0,0,0,0,0,0,0,0,22.09,0,0,0,198.35,8.02,0,0,0,1.09,0,1.13,0,0,0,0,14.71,0,0
