stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,55.5,0,0,0,0,0,0,0,0,0,59.96,3.65,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,2.6,1.02,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,5.91,0,0,0,0,0,0,0,0,1.95,2.31,0,0,0,0,0
 24-34,0,0,0,0,0,13.9,8.76,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,28.08,12.05,0,0,0,0,0.84,0,0,0,5.54,0,0,0,0,0
 36-46,0,0,0,0,0,56.93,0.79,0,0,2.16,0,0,0,0,0,0,0,0,6.68,0,0,65.91,0,0,0,0,0,1.44,0,1.56,0,0.67,0,0,0,0,1.22
 48-58,0,0,0,0,0,232.47,0,0.47,0,11.62,0,0,0,0,0,0,0,0,3.13,0,0,63.18,0,0,0,0,0,2.37,0,0,0,7.87,0,0,0.73,0,0
 60-70,0,0,0,0,0.65,1121.28,0,0,0,5.69,0,0,0,0,0,0,0,0,9.53,1.32,0,89.08,0,0,0,0,0,2.37,0,0,0,12.96,0,0,0,0,0
 72-82,0,0,0.56,3.64,16.93,1539.48,0,0,1.07,20.4,0,0,0,3.03,0,0.57,0,0,13.77,0,0,121.15,0,0.92,0.71,0,0.8,1.94,0,0,0,17.74,1.21,0,3.17,2.24,3.44
 84-94,0,0,0,14.55,0.78,1036.91,0.56,0,0,20.59,0.64,0,0,0,0,1.29,0,0,6.86,0,0,113.79,0,0,4.06,0,0,2.38,0,0,0,10.07,0,0.64,0,1.28,0
 96-106,0,0,0,5.98,6.66,1332.52,0,0,0,25.15,0,0,2.4,6.04,0,0,0,0,8.79,0,2.67,115.68,0,2.73,0,0,0,1.91,0,0,0,1.8,0,0,0,0,0
108-118,0,3.38,0,4.7,8.7,1201.03,0,0,0,10.38,0,0,0,2.36,0.85,0.47,1.42,0,8.59,0,0,83.68,0.69,0,0.98,0,0,1.58,0.55,0,0,0.64,0,0,4.48,0.65,0
120,0,0,0,0,0,775.37,0,0,0,25.38,2.11,0,0,1.81,0,0,0,3.89,0,0,3.01,100.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
