stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,71.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,0,0,0,24.63,0,0,0,0,0,0,0,0,0,0
 10-12,9.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.87,130.79,3.16,0,0.84,0,0,0,0,0.82,0,4.26,0,0,0,0,0,0,34.6,0,0,7.15,28.98,0,1.23,0,0.84,8.41,4.78,0,1.78,5.76,0,0,0,0,0
 24-34,0,0,0,68.62,0,0,7.08,0,8.87,0.92,3.34,3.58,0,0,0,0,0,10.21,0,0,29.25,0,0,11.73,1015.98,0,0,0,0,43.31,0,0,1.03,4.56,0,0,7.84,0,0
 36-46,0,0,0,86.65,0,0,8.12,0,12.58,0.87,0,0,0,0,0,23.29,0,1.42,0,0,38.14,2.7,2.45,4.4,4386.43,1.18,1.29,0,0,121.78,0,0,0,18.07,0,0,0,0,0
 48-58,0,0,0,131.24,1.44,0,10.44,0,31.4,0,8.01,0,0.75,1.48,0,34.11,0,0,0,1.86,11.44,6.25,0,1.15,3470.36,0,7.59,0.38,0,129.79,0,1.11,0,18.64,0,0,2.81,0,0.99
 60-70,0,0,0,57.43,0,0,16.26,0,14.28,1.37,10.48,1.01,7.64,0,10.1,6.1,3.02,1.2,0,0,6.88,1.86,1.96,0,1643.41,0.65,2.4,1.81,0,57.28,0,0,0,13.72,0,0,0,0,0
 72-82,0,0,0,28.34,7.95,0,11.9,1.52,6.1,4.3,4.93,4.84,0,0,0.5,2.02,0,1.04,20.92,0,9.62,0.86,1.36,1.31,1745.19,0,0,1.5,0,29.25,0,0,0,3.47,206.01,1.32,4.51,0,0
 84-94,0,0,0,87.07,0,0,0.97,0,26.98,7.03,2.94,9.8,0,0.78,0,7.64,0,13.05,0,0,5.63,0,4.68,0.7,1998.66,0,1.98,1.96,0,68.81,0,0,0,7.75,592.89,0,1.91,1.16,0
 96-106,0,0,0,146.43,2.58,3.28,45.49,0.97,14.78,0,5.2,43.65,0,0,0.65,5.46,0,3.09,56.91,0,29.71,5.68,1.38,7.02,1336.79,0,0,0,0,156.38,0,0,0,6.52,1286.89,0,1.61,0,0
108-118,0,8.84,0,107.71,1.49,0,26.53,0,18.87,5.83,4.16,14.88,0,0,11.55,4.99,0,1.13,0.56,0,14.67,7.41,0.57,1.4,843.31,0,0.95,0,0,199.28,0,0,0,0,1402.12,0,5.89,0,2.81
120,0,0,0,151.73,1.98,0,0,0,11.1,2.81,14.97,9.25,0,0,0,0,4.88,2.29,0,1.51,28.54,0,0,3.76,674.94,1.62,0,0,0,55.48,0,0,0,0,659.23,0,0,0,0
