stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,4.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,36.37,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,3.71,0,0,0,0,0,0
 24-34,0,0,148.88,0,0.68,0,23.42,0,0,0,0,0,11.27,0,0,0,0,0,0.82,0.65,0,3.57,9.83,0.67,0.79,0,0,0.65,0,0,3.86,0,0,0,0,5.82
 36-46,0,0,276.24,0,1,0,50.39,0,0.63,0,0,0,11.25,0,0,0,0,1.24,4.12,0.58,0,0,24.02,0,0,0,0,1.24,0,0,0.64,0,0,0,0,0
 48-58,0,0,202.07,0,3.28,0,47.93,0,0.5,0,0,0,20.1,0.4,0,0,0,0,6.64,1.64,0.5,1.59,32.32,1.44,3.06,0,0,10.28,0,0,2.02,0,0,0,0,0
 60-70,0,0,227.7,0,4.99,2.35,43.48,0,0,3.52,0,0,14.03,0,0.85,0,0,0,32.57,0,0.82,1.15,32.29,0,5.53,0,0,15.1,0,0,0,0,0,0,0,0
 72-82,0,0,170.46,0,2.41,4.55,44.4,0,0,0,0.6,0.87,7.64,3.35,0,0,0,0,21.2,1.31,0,0.76,11.28,0,7.91,0.53,0.71,2.76,0,0,0,0.5,0,2.9,1.22,0
 84-94,0.62,0,348.2,0,5.85,0,89.96,2.28,0,1.19,0,0,11.02,4.9,0,0.61,0,0,32.89,2.17,3.57,0.57,11.62,0,3.81,0,0,10.41,0,0,1.07,0,0.71,0,2.31,0
 96-106,0,0,285.17,7.51,3.85,1.41,60.54,2.93,10.59,4.5,0,0.82,12.24,4.49,1.02,2.82,0.96,0,65.3,4.38,4.83,6.38,36.54,0,14.59,2.73,0.99,16.09,0.84,0,0.83,0,1.82,3.75,0.56,1.22
108-118,0,0,380.5,2.08,11.54,5.4,115.71,2.63,3.17,4.65,0,0.71,17.7,1.35,0,0,0,0,63.51,0.88,11.61,0.75,26.19,0,5.88,1.63,1.49,21.02,0,0,0,1.21,0.82,6.98,4.22,0
120,2.23,0,227.32,0,12.59,13.42,86.57,3.73,0,16.93,0,2.63,45.17,1.01,0,2.12,0,0,16.98,2.68,24.75,0,27.7,0,2.19,0,0,12.64,0,0,0,0,0,4.28,0,0
