stage,eye,glial,immune,muscle,neural,xanthophores
 24-34,0,0,0,0,1.04,0
 84-94,0,0,0.94,0,0,0
 96-106,1.23,0,12.31,0,0,0
108-118,0,0,13.55,0.6,0,1.68
120,0,2.61,43.77,0,0,0
