stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,0,0,0
 14-21,0,1.3,0,0,0,0,0,0,0,0,0,0,5.25,0,0,1.03,1.82,0,0,0
 24-34,0,0.84,0,2.67,0,0.68,0,0,0,0,3.1,0,14.87,0,0,0,2.65,0,0,0
 36-46,0,1.07,0,9.19,0,1.7,0,0,0,0,1.07,0.81,15.09,2.78,0,3.94,0.66,1.04,0.65,0
 48-58,0,1.21,1.54,27.76,4.48,1.85,0,0,9.9,0,0.8,0.42,7.92,0.4,0,0.39,0.41,0,1.01,0
 60-70,0,0,0,60.01,1.96,1.5,0.95,0,0,0,0.99,0,22.61,0.62,0,0.68,0,0,0,0
 72-82,0,1.3,0,59.04,0,2.64,0,0,0,0.65,1.44,0,7.65,0,0,0,1.33,0,0,0.84
 84-94,0,0,0,71.98,0,0,0,0,0,0,7.93,0,6.59,0,0,1.52,3.31,0,0,0
 96-106,0,0,0,28.86,0,2.17,0,0,0,0,5.04,0.67,3.94,0,0,0,4.54,0,0,0
108-118,0.49,0.45,0,17.78,0,0,0,0,0,0,0.85,0,3.64,0,0,0,0,0,0,0
120,0,0,0,33.34,0,0,0,1.49,0,0,26.6,0,23.99,0,0,0,0,0,0,0
