stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,26.05,0,0,0,0,0,0,0.87,15.52,0,0,0,0,0
 24-34,0,0.96,9.71,5.24,1.15,0,2.95,0,1.25,0,0,0,0,0,0,0,0,9.02,0,0,0,304.68,0,5.97,1.16,0,0,0,0,73.9,0,0,0,0,0
 36-46,0,6.03,2.78,0,1.32,0,1.39,0,1.07,0,0,0,0,0,0,0,0,2.23,0,0,0,536.17,0,6.12,0.59,0,1.33,0.89,0,99.91,0,0,0.68,0,0
 48-58,0,0.42,3.22,0,68.37,0,0.44,0,5.33,0.49,0,0,0,0,0.91,0,0,12.85,0,0,0.63,517.17,0,0.88,4.26,0,3.62,0,0,86.36,0,0,1.65,0,2.6
 60-70,0,0.89,7.26,0,560.17,0,0,1.21,34.76,0,0,0,1.09,0,0.9,0,0,24.76,6.24,0,1.31,1162.04,0,1.84,5.81,0,12.32,1.91,0,214.92,0,0,0,0,0
 72-82,0,0,9.56,1.46,1038.95,0,0,0,77.98,0,0,2.77,6.78,0,3.94,0,2.33,55.59,0.56,0,4.65,1229.09,1.64,2.44,7.68,0,1.32,0,0,134.41,5.87,6.26,8.34,0.71,0
 84-94,0,4.53,7.7,0,761.68,0,0,0,73.17,0,0,0,0.57,0,1.67,0,0,27.71,5.77,1.59,1.21,899.9,0,0,5.88,1.59,19.47,2.23,0,75.17,0,0.6,0,0,0
 96-106,0,0,10.54,3.93,814.37,0,0,0,86.6,0.7,0,0.78,4.78,1.37,1.05,2.23,0,38.69,0,4.48,0,765.55,0,5.14,6.32,1.66,3.51,0,0,67.94,1.22,0,0,0,0
108-118,0,1.52,13.31,0,660.82,0,0,0,107.84,0,0,0.74,1.16,0.55,21.98,0,2.23,58.92,3.23,4.54,0,1118.28,1.37,3.61,5.61,0,7.97,2.2,0,50,0,0,5.41,2.35,0.93
120,0,0,16.5,0,583.41,1.01,0,0,155.96,0,0,0,7.63,0,0,0,1.84,62.4,11.34,11.82,0,1663.1,4.62,0,5.68,0,3.21,0,0,70.6,0,0,0,0,0
