stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.74,823.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.67,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,253.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,32.82,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.73,3.53,0,0,32.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.96,11.25,0,0,3.22,0,0,5.47,0,7.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,33.51,3.28,3.07,0,0,0,3.15,0,0,0,0,0,0,0,0,8.4,0,0,2.73,86.64,36.76,2.16,0,0,0,4.52,0,1.16,0,0,3.64,36.11,0,0,0,0,0
 24-34,0,0,0,0,47.25,3.84,24.33,0,2.51,0,5.58,0,0.67,8.1,3.36,0,1.62,0,0,39.81,0,0.81,9.02,466.87,137.86,3.43,6.61,0,0,4.56,0,0,2.98,0,0,119.4,0,0,26.57,0,0
 36-46,0,0,0,0,57.62,0,65.44,0,8.85,0.87,21.17,0,0.95,1.58,22,0,0.74,0,6.47,39.68,0,0,9.07,520.73,82.29,4.88,5.56,0,0,0.69,0,0,1.61,0.58,0,149.93,0,0,24.23,0,3.66
 48-58,0.77,0,0,0,19.37,0,133.47,1.48,4.51,0.49,74.73,0,0.58,1.75,0,5.97,0.65,0,14.16,74.52,0,1.17,5.95,675.79,86.5,1.77,11.24,0,0,6.64,0,0,1.12,0,0,129.98,0,0,14.06,0,0
 60-70,0.81,0,0.57,0,31.75,0,241.28,2.08,12.63,1.84,70.99,0,0,1.58,1.08,0.63,1.02,0,8.43,83.48,0.57,3.69,3.63,669.4,9.91,2.76,2.14,0,0,0,0,0,0.85,0,0,115.54,0,0,16.33,1.6,0
 72-82,0,0,0,0,28.26,0,329.28,1.33,4.68,0.96,126.55,2.99,0.53,5.98,2.59,1.28,3.53,7.52,0.98,121.58,0.56,0,1.5,711.65,14.79,0.53,8.05,0,0,0.62,0,0,0.57,0,0,75.94,6.29,0.5,29.1,1.78,0
 84-94,0,0,0,0,24.01,0.67,361.9,0.69,19.43,9.7,97.24,11.34,0,10.96,11.01,3.38,6.99,0,22.9,57.59,0,0,3.79,600.62,10.88,1.66,5.49,0,1.59,8.24,0,0,6.03,0,0,51.18,3.13,0,43.48,1.44,1.21
 96-106,2.25,0,0,1.07,30.64,16.78,323.5,0.71,19.01,0,77.78,5.86,2.3,7.78,8.42,0,9.16,0,2.91,88.96,0,2.14,4.14,408.5,0.57,1.12,14.97,0,4.17,2.49,2.06,0,1.03,0,0,31.86,0.78,2.88,34.08,0,1.13
108-118,0,0,0,0,48.69,1.04,321.82,0,8.29,0,88.11,3.63,0.61,16.21,7.72,2.53,6.84,1.42,20.83,67.12,0,0.69,5.59,587.15,11.12,0.41,36.18,0,2.92,1,0,0,0.91,0,0,25.47,2.1,0,30.19,0.5,1.09
120,0,0,4.32,0,16.36,1.95,580.11,1.16,1.28,0,136.96,11.03,0,13.04,2.56,0,4.63,3.79,14.25,130.69,1.84,1.45,4.07,799.4,16.68,11.55,27.06,0,5.5,0,0,0,8.84,0,0,20.07,0,0,70.42,0,0
