stage,eye,glial,liver,mesenchyme,neural,olfactory,otic,periderm,spinal_cord
 36-46,0,0,0,0,0,65.45,0,0,0.92
 48-58,0.7,0,0,0,3.32,3.59,2.22,0,0
 60-70,0,0,0,0,0,0.58,0,0,0
 72-82,3.56,0,0,0,8.6,111.62,0,0,0
 84-94,0,0,0,0,4.14,94.6,0,0.59,0
 96-106,1.85,1.44,0,2.15,0,280.39,0,1.35,0
108-118,0,0,2.83,0,1.78,197.76,0,0,0
120,0,0,0,6.61,0,198.19,0,0,0
