stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.38,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,8.81,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.67,7.19,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,3.37,0,0,0,0,0
 14-21,0,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.97,2.77,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.84,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.37,0,0,2.5,0,0,27.01,0,9.06,0,0,0,0,0,0,0,0,0
 60-70,0,21,0,0,0,0,0,0,0,37.23,0,0,269.58,0,1.28,0,0,0,0,0,1.34,0,0,0
 72-82,0,0,0,0,0,0,4.93,0.62,0,5.85,2.69,4.11,1345.5,0,7.5,0,9.85,0,0,0,0,0.56,0,0
 84-94,0,1.15,0,0,0,0,13.59,0,0,7.24,22.53,0,103.67,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,6.51,0,0,5.74,0.75,4.44,3.57,51.03,7.49,2.28,0.7,951.23,1.26,183.62,0,6.74,0,0,0,0,1.48,5.96,0
108-118,0,3.22,0,0.79,4.33,0,4.36,0.56,0,3.9,17.01,1.51,465.47,4.07,9.73,0,1.51,0,0,0,1.17,0,0,4.35
120,0,43.07,0,0,0,0,0,0,0,0,0,0,282.11,0,2.83,0,1.57,0,0,0,0,0,0,0
