stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,5.19,0,0,5.57,17.14,0,0,0,0,0,0,0,5.91,0,3.01,0,0
 24-34,0,0,0.59,3.11,0,0,6.88,0,7.3,0,0,0,0,0,0,0,0.84,0,0,0,100.27,0,1.38,0,0,0,0,0,0,15.18,2.74,0,0
 36-46,0,0,0,10.33,0,0,33.23,1.19,8.7,3.07,9.37,0,0,0,0,0,4.76,0,0,3.05,106.82,0,3.73,0,0,0,0,0,0,11.81,2.08,0,0
 48-58,0,0,0,0.8,0,0,169.17,13.55,5.64,0,2.82,0,0,0.47,0.69,0,2.81,0,0,9.41,177.9,0,0,0,0,0,0,0,0,7.99,6.04,0,0
 60-70,0,0,0,1.73,4.44,0,1309.08,8.9,0.61,0,15.74,0,0,0,0,0,2.82,0,1.82,8.65,386.34,0,0,0,1.99,0,0,0,0,18.36,10.83,0,10.29
 72-82,0,1.25,0,16.41,0,0,1657.86,5.75,5.34,1.07,23.65,1.67,0,0,0.61,0,18.19,0,3.52,4.25,425.76,0,0,2.82,1.41,0,0,0,0,3.74,8.83,1.19,0
 84-94,0,2.47,0,4.23,1.3,0,939.73,3.9,2.28,0.92,14.88,0,0,0,2.24,1.49,11.33,1.23,4.95,2.96,271.98,0,0,0.67,0.57,2.93,0,0,0,7.08,2.44,0,0
 96-106,0,2.37,0,10.47,0,1.05,1193.64,1.24,11.84,7.31,25.3,1.23,0,3.23,0.7,0,11.79,0,0,1.51,239.01,0,4.04,4.73,0,10.47,6.17,0,0,0,8.71,3.68,0
108-118,0,0,0,6.08,0,0,968.25,0.54,0.53,0.48,7.55,0,0,0.61,0,0,11.47,0,2.37,0,252.75,2.66,1.94,6.8,1.91,0.49,0,1.88,0,3.92,4.59,0,0
120,0,0,0,33.03,0,0,733.14,1.35,20.24,0,13.15,0,0,0,8.92,0,0,0,0,2.52,309.33,0,2.79,0,1.79,3.72,0,0,0,8.47,6.94,0,0
