stage,axial,eye,mesenchyme,neural,otic
  5-6,6.12,0,0,0,0
 24-34,0,0,1.28,0,0
 48-58,0,1.49,0,0,0
 96-106,0,0,0,0,2.4
108-118,0,0,0,0,7.3
120,0,0,0,18.08,7.59
