stage,epidermis,eye,fin.mesenchyme,heart,mesenchyme,mural.cell,muscle,neural,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,11.93,0,0,0,0,0,0
 14-21,0,0,0,0,1.88,0,6.18,1.41,2.6,3.64,1.42,0,0,0
 24-34,0,0.61,0,0,2.92,0,0,10.89,0,0,2.3,0,0,0
 36-46,0,0.83,0,2.07,13.09,0,6.8,0.61,0,0,0,0,0,0
 48-58,0,0,0.43,0,17.97,0.96,0.45,5.62,0,0,0,0,0,0
 60-70,0,0,0,0,12.86,0,0,8.7,0,0,0,0.82,0,0
 72-82,0,1.25,0.82,0,6.02,0.51,0,6.94,0,0,1.57,0,0,0
 84-94,0,8.53,2.12,0,3.64,0,0,0,0,0,0,1.03,1.17,0
 96-106,0,0,0,0,12.98,0,0.89,5.88,0,0,0,0,0.74,8.09
108-118,5.65,0,0,0,2.36,3.38,0,1.92,0,0,0,0,0,0
120,0,0,0,0,0,0,0,6.96,0,0,0,0,0,0
