stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.2,813.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,131.34,1672.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08,0,0,0,8.57,0,18.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.14,13.6,38.16,0,0,0,37.81,0,0,0,0,0,24.16,0,0,0,0,0,0,0,0,0,0,0,423.07,23.95,0,0,201.95,0,0,6.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.38,0,0,11.83,0,26.88,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,0,257.95,4.69,0,0,244.84,0,0,0,4.19,50.15,0,24.92,0,0,0,0,0,0
 14-21,0,0,0.88,23.62,3.77,0,0.96,0,49.72,0,4.35,0.81,0,2.4,0,0,0,0,0,0,39.99,0,0,116.37,51.83,4.41,0,0,21.06,0,0,0,43.09,0.86,380.24,469.02,16.38,0,0,0,0,0
 24-34,0,0,0.7,5.95,0,0,7.11,3.29,223.14,6.75,4.21,1.55,0,0.79,0,0,0,0,0,2.06,157.93,0,0,164.91,112.66,0,0,0.71,0,0,2.22,0,0,0,31.32,30.46,31.28,0,0,3.34,0,0
 36-46,0,0,0,1.6,0,0,5.63,25.26,120.62,43.4,1.32,0,0,2.43,4.97,0,0,0,0,0,338.03,0.73,0.67,217.18,62.02,0,0,0,0,0,0,0,3.45,0.7,6.84,0,9.94,0,0,0,0,0
 48-58,0,0,0,8.26,0,0,18.89,13.23,83.76,94.33,9.32,2.83,0,1.28,0.81,0,0,0.55,1.02,0,585.66,1.1,0.56,352.79,50.27,0,0,0,0,0,0.91,0,0,0,0.43,0,15.93,0,0.64,0.41,0,5.73
 60-70,0,0,0,0.57,0,0,20.68,11.55,20.81,156.6,9.33,0.63,0,0.78,21.15,5.31,0.72,0,3.59,0,761.18,0,8.03,236.33,37.93,0,0,0,0,5.26,0,0,0,0,0,0,6.31,0,3.46,0,0,0
 72-82,0,0,0,7,1.24,0,53.51,8.38,7.42,238.69,11.94,0,0,0,6.32,9.87,3.67,0,2.65,0,1281.44,0,1.19,292.73,53.1,0,0.9,2.17,0,7.07,0,0,0,0,0,0,2.02,0,10.63,5.06,7.07,0
 84-94,0,0,0,20.62,0.66,0,65.15,2.85,11.39,124.66,20.72,0.8,0,0.97,6.7,12.88,0,0.73,7.17,0,912.27,0,0,222.82,27.28,0,0.71,3.1,0,10.56,1.78,0,0,0,0,0,0,0,2.43,1.66,12.53,4.56
 96-106,0,0,0,12.57,9.75,0,52.32,22.18,27.95,169.76,24.61,1.62,0,0,8.55,15.67,0,0,0,0,1142.65,0,9.91,177.03,43.43,0.81,0,9.52,0,31.78,5.49,0,0,0,0,0,0,1.68,2.23,5.57,3.87,0
108-118,0,0,0.74,12.28,0,0.78,53.57,8.53,39.78,172.33,21.16,0,0,0,14.36,17.2,0.95,0,2.2,0,1508.5,3.45,6.08,246.07,79.92,0,0,0.43,0,53.42,0,0,0,0,0,0,4.16,0.71,0,10.91,10.7,6.45
120,0,0,2.55,24.2,0,0,28.09,1.06,30.91,221.03,8.99,1.14,0,0,7.26,8.15,0,2.64,0,0,1124.82,3.12,4.16,131.21,47.01,0,0,4.54,0,0,0,0,0,0,0,0,0,0,9.46,0,9.85,0
