stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.91,159.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0
  5-6,7.26,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.64,0,0,0,5.11,0,0,0,0
 10-12,0,0,0,6.82,0,0,6.37,0,0,0,0,0,0,0,0,0,0,7.78,0,17.27,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0,10.49,0,0,0,0,8.95,0,0,0
 36-46,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,3.24,0,17.42,0.95,0,0,0,0.97,0,0,0
 48-58,0,0,0,0,0.44,0,16.38,3.19,0,3.05,0,0,0,0,0,2.74,0.45,40.7,0,0,0,0,5.73,0,0,0
 60-70,0,0,0,0,0,0,20.33,0,0,0,0,0,0,0,0,2.36,0,19.49,0,0,0,0,14.14,0,0,0
 72-82,0,0,0,0,0,0,44.82,0,0,4.71,0,0,0,0.65,0,0,0,21.16,0,0,0,0,1.34,0,0,0
 84-94,0,0,0.98,0,0,0,145.42,0,0,2.07,0,0.56,0.56,0,0,0.78,0,18.15,0,0,0,0,9.84,0,1.74,0
 96-106,0,0,0,0,0.64,0,202.21,0,1.4,0,0.71,1.86,0,0.94,0,2.55,0.73,2.22,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.68,464.79,0,0,1.92,0,0,0,0,0.51,6.01,0,10.35,0,0,0,0,0,0.49,0,5.99
120,0,0,3.99,0,0,0,259.18,0,0,0,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0
