stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,22.82,398.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.46,0,0,0,0,0
  5-6,6.1,171.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,112.83,0,0,0,46.48,0,0,0,0,0,0
 10-12,0,4.38,0,19.3,0,4.89,11.87,0,0,0,0,0,0,0,0,0,107.55,0,0,0,60.8,0,5.47,0,0,0,0
 14-21,0,0,0,0,2.79,15.88,1.43,0,0,0,0,0,0,3.45,0,0.81,16.94,0,0,0,0,0,0,4.49,8.09,0,0
 24-34,0,0,0,0,0,0,0.64,0,0,0,0,0,0,3.41,0,0,46.76,0,0,0.79,0,0,0,0,6.23,0,0
 36-46,0,0,0,0,0,1.93,8.91,0.65,1.74,0,0.57,0,0,3.74,0,0,20.14,0.62,0,0,0,0,0,0,11.18,0,0
 48-58,0,0,0,0,0.43,0,15.79,0,2.47,0,0,0,2.73,5.63,0,0.97,24.35,0,0,0,0,0,0,0,4.47,0,0
 60-70,0,0,0,0,0,0,15.31,0,0,0,0,0,0,1.33,1.84,4.55,9.02,1.17,0,0.9,0,0,0,0,1.54,0,0
 72-82,0,0,1.15,0,0,1.74,7.94,0,2.37,0.85,0,0,0,6.82,0,0.56,13.7,0,2.28,0,0,0,0,0,0,3,0
 84-94,0,0,0,0,0,0,12.03,0.73,0.6,0,0,0,0,2.43,0,0,2.81,0,0,0,0,0,0,0,0,1.17,0.61
 96-106,0,0,0,0,3,0,6.93,0,0,1.06,0,0,0,2.28,0,0,6.03,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.24,0.9,5.13,0.53,2.69,0,0,0.59,0,0.61,0,0,9.03,2.09,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
