stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  5-6,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0,0.88,0,0
 24-34,0,0.63,0,0,0,0,0,1.53,0,4.71,0,0,0,0,0,0,0
 36-46,0,0,3.02,0,0.92,0,0,0,0,6.22,0,0,0,1.1,0,1.77,0
 48-58,0,0,1.69,0,0,0,0,0.71,0,6.85,0,0,0,0,0,0.63,0
 60-70,0,0,2.24,0,16.93,0,0,2.68,0,1.87,2.29,0,0,1.74,0,3.51,0
 72-82,0,0,4.2,0,2.79,0,0,1.31,0,4.8,0,3.18,0,0,0,5.38,0
 84-94,0,0,12.82,0,0,0.67,0,2.04,0,4.57,0,0,0,0,0,0,0
 96-106,0,0,1.06,0,1.99,0,0,0,0,5.42,0,0,0,0,0,0,0
108-118,0,0,1.35,0,0,0,0.67,3.15,0.6,0,0,0.78,0,0,0,2.45,0.58
120,0,0,12.07,1.11,19.38,0,0,1.15,0,0,0,1.29,0,0,0,0,0
