stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,3.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,7.72,0,0,0,0
 24-34,20.25,1.28,0,10.3,0,0,0,0,0,0,0,0.74,0,0,198.27,0.96,0,0,0,0,0,0,0,77.04,0,0,0,0
 36-46,2.65,1.07,0,5.81,0,0,0,2.27,0,0,0,0,0,0,499.89,0,0,0,0,1.89,0,0,0,143.73,0,0,0,0
 48-58,2.64,5.94,0,157.84,0,0,0,25.58,0,0,0,5.83,0,0.61,677.92,2.08,0,0,0,4.77,0,0,2.55,113.04,0,0,0,5.82
 60-70,1.2,3.92,0,702.59,0,0,0,36.43,0,0,0,2.42,0,2.69,1459.08,0.72,0,0,0,0,0,0,0,117.2,0,0,0,1.44
 72-82,0.71,6.86,0.56,1117.43,0,0,6.88,46.69,1.67,0,0,4.75,0,1.64,1494.49,3.73,0,0,1.08,0,0,0,0,145.44,0,1.29,0,0
 84-94,4.76,7.41,0,956.89,0,4.74,0,35.23,2.54,0,10.93,11.39,0.92,0,1022.99,0,0,0,0,2.23,0,0,0,56.91,0,0.97,1.72,0
 96-106,0.83,26.56,0,808.33,0.73,0.61,0,21.34,1.89,0,3.42,8.07,0,2.69,1097.65,0,0.84,0,0,0,2.06,0,0,53.61,0,4.25,0,0
108-118,1.6,8.68,1.4,742.11,0,2.46,0,20.33,0,0,0,13.83,0,0.48,1091.92,1.47,1.15,0,0,0,0,1.68,0,23.46,0.89,0,0,0
120,1.73,6.04,0,846.57,0,0,0,17.31,0,0,0,40.31,0,0,1998.44,0,0,0,0,0,0,0,0,53.58,0,12.89,0,0
