stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0.88,0,1.27,1.43,0,0,4.6,0,0
 24-34,0,0,20.08,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,1.5,5.88,0,3.06,0,0,0,0,0,0,1.33,0,0,4.77,0,0
 36-46,0,0,28.38,0,1.43,53.64,0,1.98,0,0,4.46,0,0,0,0,0,2.59,0,0.8,13.05,1.6,10.18,4.55,0,0,0,2.71,0,1.27,0,0,7.68,0,0
 48-58,0,0,35.37,0,7.07,0.91,0,0,0,0,0,0,0,0.66,0,0,1.96,0,5.23,47.07,1.46,4.81,4.41,0,0,0,0,0,4.25,0,0,5.47,0,0
 60-70,0,0,110.09,0,24.01,81.59,0,6.3,0,0,3.86,0.61,0.85,17.54,6.44,0,0,0,1.17,79.37,0,4.57,14.61,0,2.59,0,0,0,4.1,2.45,0,6.87,0,0
 72-82,0,1.71,74.8,0,9.36,8.28,0.84,58.07,4.53,0.89,1.25,2.33,2.36,19.51,4.21,0,4.3,1.23,0,66.38,0,5.57,6.42,0,0.83,0,1,0,6.31,0.67,0,7.37,0,0
 84-94,1.99,3.38,125.58,0,7.11,19.87,0,7.6,12.22,0,4.97,2.65,2.82,6.41,2.03,1.76,6.84,1.67,0,11.23,0,27.76,5.5,0.57,3.72,0,2.72,0,2.82,0.94,0,2.01,0,0
 96-106,0,5.95,437.04,0.88,19.49,38.86,0.76,16.88,93.67,0.86,0.94,3.57,6.97,15.89,1.47,0,6.43,2.58,0,52.42,0,36.58,18.25,0,3.4,0,3.42,0,0,2.08,0,9.33,0.89,1.22
108-118,0,1.89,144.46,0,5.11,18.84,6.49,46.16,65.42,0,0.56,4.74,10.27,10.62,9.67,0,19.8,0.55,2.57,20.08,0,20.65,50.92,6.45,4.02,0,1.94,0,0,12.52,2.42,13.91,0,0
120,0,0,140.45,1.84,12.96,7.79,0,64.18,11.85,5.75,0,0,4.72,52.37,9.99,0,7.85,3.49,0,63,0,30.25,27.35,0,1.22,0,5.82,0,0,0,0,13.21,0,0
