stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,81.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0
  5-6,42.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,0,0,0,0,0,0,0,0,44.9,0,0,0,4.05,0,0
 10-12,0,0,0,6.95,0,0,3.03,0,0,0,64.81,0,0,0,3.24,0,0
 14-21,0,0,0,3.4,0,0,0,0,0,0,1.12,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,2.96,0
 36-46,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0.69,0,0,2.6
 60-70,0,0,1.02,5.46,0,0,0,0,0,0,0,0,0,0,0,1.37,0
 72-82,0,0,4.67,0,0,0,0,1.18,0.68,0,3.66,0,0,0,0,1.1,0
 84-94,0,0,11.75,0,0,0,0,0,0,0,1.2,0,0,0,0,1.56,0
 96-106,0,0.58,35.5,7.63,0,4.16,0,0,0,1.52,1.83,0,0.58,0,0,14.2,0
108-118,0,1.42,6.65,3.92,0,1.13,0,0,0,0,0,0.47,0,0,0,11.84,0
120,0,0,13.28,2.16,3.21,0,0,0,0,3.31,1.53,0,0,1.43,0,9.56,0
