stage,epidermis,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,3.98,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.77,0,1.01,0,0,0,0.88,0
 24-34,0.95,0.82,0,0,0,0,0,0,3.98,0,0,0,1.5,0
 36-46,0,0,0,0.71,0,0,0.7,0.59,9.64,0,0,0,1.52,0
 48-58,0,3.03,0,10.32,0,0,0,0,3.79,0,0,0,2.9,0
 60-70,0,0.96,0.9,0,0,0,0.65,0,4.72,0,0.84,0,1.31,0
 72-82,0,4.12,0,1.07,0,0,0.69,0,15.36,0,0,0,0,0
 84-94,0,0,0,1.21,0.93,0,0,0,3.75,0,0,0,0,0
 96-106,0,0,0,0,0,9.55,0,0,1.9,0.67,0,3.76,0,1.83
108-118,0,0.72,0,0,0,0,0,0,2.27,1.4,0,1.46,0,0
120,0,0,0,0,0,0,0,0,11.88,0,0,3.93,0,0
