stage,axial,epidermis,eye,fin.epithelia,gut,hatching.gland,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord,taste
  7-9,4.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.14,5,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.42,0,0
 24-34,0,0.66,0,0,0,6.16,0,0,1.92,0,4.82,0,0
 36-46,0,9.05,0,0,0,0,0,0,0.91,0,11.8,0,0
 48-58,0,0,0,0,0.38,0,0,0.54,0.6,0,10.51,0,0
 60-70,0,0.77,1.01,0,0,0,0,0,0,0,19.46,0,0
 72-82,0,1.82,0,0,0,0,0,0,5.04,0,5.01,0,0
 84-94,0,0.98,0,0,0,0,1.04,1.29,3.88,0,56.29,0,0
 96-106,0,27.5,0,0,4.31,0,0,0,3.65,0,63.47,0,3.82
108-118,0,6.38,0,0.74,0,0,1.42,0,2.88,0,148.34,0.98,0.7
120,0,12.26,0,0,0,0,0,0,6.62,0,110.47,0,0
