stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,vascular.smooth.muscle
  3-4,62.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.98,0,0,4.33,0,3.79,0,0
 10-12,0,0,0,0,3.34,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,8.35,0
 24-34,0,0.67,0,0,0,0,0.85,0,0,0,0,0,79.26,3.57,0,0,0,0,34.74,0
 36-46,0,0,0,0,4.7,0,1.39,0,0,1.08,0,0,213.89,0,0,0,0,0,49.17,0
 48-58,0,0,0,0,13.69,0,0,1.59,0,0.63,0.7,0.89,322.23,2.07,0,0,0,0,41.8,0
 60-70,0,0,0,0,78.44,0,0,3.98,3.72,9.53,0,0.64,647.67,1.17,0,0,0,0,40.47,0
 72-82,0,0,3.81,0,115.54,0,4.53,11.16,0,7.95,0,0,561.65,0,0,0,0,0,30.87,0
 84-94,0,0,0,0,67.76,0,0,9.27,0,17.1,0,0,351.61,0,0,0,1.65,0,23.73,0
 96-106,0,0,4.39,0,82.55,0,0,6.6,0,6.79,0,0,326.31,2.02,1.5,0,0,0,8.39,1.93
108-118,0,0,0,0,50.09,1.3,0,4.18,0.51,11.3,0,0,240.52,1.13,0,0,0,0,2.64,0
120,0,0,0,1.01,99.67,0,11.64,10.05,0,15.3,0,0,522.07,0,0,0,0,0,7.61,0
