stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,27.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0
 14-21,0,8.76,0,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0,1.84,0,0,1.18,0,3.48,5.07,0,0,0
 24-34,0,2.69,0,0,0.88,1.86,0,0,0,0,0,0,0,0,0,0.64,0.61,0,0,34.46,0,1.74,1.4,0,0.87,0,0,9.45,0,1.2,0
 36-46,0,4.31,0,0,3.44,0,1.41,0,0,0,0,0,0,1.07,0.7,3.77,0,0,0,60.8,0,0,0,0,17.91,0,0,21.12,0,1.02,0
 48-58,0,0,0,0,25.97,0,5.72,0,0.78,0,0.49,0,0,0.86,0,0.47,0,0,0,68.34,2.65,1.94,0,0,5.04,0,0,11.53,0,0,0
 60-70,0,1.46,0,0,38.24,0,4.52,0,0,0,0,0,1.02,0,0,7.45,0,0,0,69.55,0.7,1.19,0,0,0.97,0,0,8.79,0,0.72,0
 72-82,0,0.92,0,0,21.84,0,2.11,0,0,0.49,0.56,0,0,0,0,2.12,0,0.88,0,82.69,0,0.71,1.39,0,1.64,0,0,5.68,0,0,0
 84-94,0,0.9,1.15,0,16.9,0.8,3.07,0,0,0,0,0,0,0,0,6.48,3.15,0,0.67,64.05,0,0,0,0,12.4,5.42,0,7.65,0,0.71,0
 96-106,0,0,0,0,31.21,1.1,5.66,0,0,0,1,0,1.09,0,0,12.18,0,0,0,69.45,0,0,0,0,7.81,0,0,2.75,0,0,0
108-118,0,1.59,0,1.04,17.15,0,8.25,2.77,0,3.27,1.43,0.99,0,0,0,1.35,0,0,1.48,44.76,0,0,0.83,0,7.35,0,0,1.8,0.5,1.19,1.15
120,0,1.72,0,0,30.38,0,10.13,0,0,0,0,0,0,0,0,2.34,0,0,0,99.11,0,0,2.59,0,2.92,0,0,0,0,0,0
