stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,129.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.61,0,0,0,0,0,0,0
  5-6,35.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.34,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,53.37,0,0,0,0,0,16.02,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.18,0,0,0,4.52,0,10.99,0,0,0,0,0,0,0
 14-21,0,0,0,8.87,0,1.35,0,0,1.51,0.85,3.56,0,6.99,0,0,0,4.2,3.85,0,8.2,0,0,0,0,0,593.96,1.23,0,0.92,4.08,0,0,0
 24-34,0,0,0,11.31,0,1.72,0.78,0.68,0,0.63,8.4,0,13.66,0.78,0,1.55,4.16,8.19,0.76,43.87,0,8.06,0,0,0,201.44,0,0,0,1.55,0,0,0
 36-46,0,0,0,29.74,0,0.59,5.23,0,0,0,8.66,0,7.56,0,0,8.52,0.68,1.4,0,73.9,0,5.23,0,0,0,283.29,0,0,0,5.02,0,0,0
 48-58,0,0,0,18.45,0,2.12,0,0,0,0.76,17.84,1.02,0.85,0,0,3.54,0,6.76,1,35.85,0,1.92,0,0,0,177.6,0,0,0,0,0,0,2.29
 60-70,0,0,0,37.07,0,0,1.18,0,0,7.86,5.21,1.1,3.48,0,0,0,3.26,15.01,1.3,16.11,0,2.99,0,0,0,285.08,0,0,0,0,3.57,0,0
 72-82,0,0.69,0.56,32.01,0,6.27,2.33,0,2.8,8.3,2.76,0,3.39,0,0,0,1.06,6.06,0.49,20.72,0,7.11,0.56,0,0.71,200.47,0,0,0,11.06,11.32,0,0
 84-94,0,0,0,47.32,1.26,5.31,8.53,0,1.38,14.31,4.38,0,5.64,0.81,0,1.87,13.09,39.99,0,18.35,0,4.03,0,0,0,522.54,0,0,0,4.49,23.67,0.68,0
 96-106,0,0,0,53.1,6.74,6.35,0.67,0,1,26.89,1.32,0.56,9.18,0.92,3.04,0,0.59,12.76,0,46.58,0,6.88,0,0,0,225.66,0,0,0,1.5,37.21,0,0
108-118,0,0,0,70.56,0,2.27,5.97,0,0,46.36,0,4.31,5.69,0.6,1.42,0.6,7.04,16.16,0.48,23.95,0.57,5.16,0,0,0,308.53,0,0,0,0,42.19,0,0
120,0,0,0,107.49,0,1.54,5.35,0,3.56,63.2,0,3.74,9.8,6.48,9.49,1.61,0,16.93,0,35.51,0,2.28,0,0,0,252.77,0,2.39,0,12.71,31.34,0,0
