stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.86,47.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.12,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,6.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,1.45,0,0,20.77,0,0,0,0,0,0,1.05,0,8.39,0,0,0,0
 24-34,0,0,0,0.7,0,0,2.38,0.78,0,0,0,0,0,0,0,0,0,0.71,0,0,83.87,0.66,4.99,0,0,0,3.05,0,1.45,23.07,0,0,0,0
 36-46,0,0,0,0,0,0,1.87,0,0,0,0,0,0,0,0,0,0,1.18,0,0.72,162.54,0,3.81,0,0,0,0,0,0,32.31,0,0,0,0
 48-58,0,0,0,2.59,0,0,34.19,4.05,0,8.66,0,0,0,0,0,0,0,4.39,0,1.32,288.42,0,2.27,3.44,0,0,4.03,0,0,40.34,0,0.43,0,0
 60-70,0,0,0,2.06,0,0,91.13,0,3.27,3.18,0,0,0,0,0,0,0,8.75,0,0,429.58,0,0,1.34,0,0,0,0,0,40.28,0,0,0,0
 72-82,0,0,0,0,0,0,124.78,0,0,5.96,1.99,0,0,0.5,0,0,0,12.47,0,0.62,500.64,0,2.16,15.93,0,0,0,0,0,29.93,0,0.57,0,7.98
 84-94,0,0,0,2.22,1.35,0,97.41,0,0,3.77,0,0.76,0,0,0.55,0,2.93,8.34,0,0,307.74,0,10.43,9.16,0,0,1.25,0,0,15.64,1.21,5.95,2.8,0
 96-106,0,0,0,3.46,0,0,124.16,0,0,12.8,1.22,0,0,0,0,1.2,1.56,14.98,0,0,306.34,0,15.34,26.86,0,0,4.84,0,0,4.59,0,7.41,0.68,0
108-118,0,0,0,1.77,2.08,1.67,120.87,0,6.04,16.06,0,0,0.42,0,0,0,0,9.89,5.89,2,328.71,0.45,4.32,17.93,0,7.73,2.72,0,0,7.02,0,1.08,0.68,0
120,0,0,0,2.14,0,1.03,122.15,0,0,9.3,5.83,0,0,0,0,0,0,20.99,0,0,845.83,3.28,15.69,20.15,0,0,0,0,0,37.96,0,5.57,0,0
