stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0
  7-9,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,14.87,0,0,8.98,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,17.12,19.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,1.21,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86,1.92,0,0,0,0,5.55,0,20.38,0,0
 36-46,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,161.39,1.6,0,0,0,0,0,0,17.67,0,0
 48-58,0,1.29,0,8.74,0,1.83,0,9.75,0,0,0.54,11.5,0,0,244.45,1.07,0.56,0,0,0,0,0,31.95,0,0.38
 60-70,0,1.9,0,46.5,0,0.73,0,0,0,0,0,2.7,0,0.76,556.46,0,0,0,0,0,0.75,0,22.2,0,0
 72-82,0,3.38,0.69,215.43,0,9.53,0,0,0,0,0,11.56,0,0,817.15,0,0,0,0,0,0,0.68,39.46,0.68,0
 84-94,0,0.62,0,208.67,0.55,12.09,0,0,1.97,0,0,13.28,0,0,632.33,0,4.56,0,0,0,7.55,0.73,54.56,0,0
 96-106,0,8.89,0,250.93,0,20.87,0,0,2.62,0.82,0,24.75,0,0,669.87,0,1.03,1.16,0,0,6.64,0,21.48,3.05,0
108-118,0,8.48,0,305.74,0,18.83,0,2.25,5.15,0,0,13.84,0,1.36,730.34,0,1.01,3.49,0,1.32,3.53,0,25.33,0,0
120,0,2.52,0,416.93,0,16.74,0,0,0,0,0,22.04,2.75,0,1385.89,0,0,4.69,0,0,1.42,0,33.77,0,0
