stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.57,0,0,0,8.28,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.63,5.56,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,1.34,0.97,0,0,0,0
 24-34,0,0,0.65,3.76,0,0,1.56,0.64,0,0,1.41,0,0,0,1.26,0,6.02,0.69,1.16,0,14.48,0.63,0.65,0,0,0
 36-46,0,0,0,1.52,0,0,0,0,0,0,0.56,0,0,0,1.78,0,18.36,2.82,0,0,13.28,0,0,0.69,0,0
 48-58,0,0,0,3.99,0,0,0.39,0,0,0.49,0.87,0.38,0,1,2.85,0.51,7.7,0,0,0,10.21,0,0,0.44,0.4,0
 60-70,0,0,0,1.69,0,0,1.42,0,0,0,0,1.22,0,3.56,6.54,0,11.67,2.2,0,0,36.11,0,0,0,0,0
 72-82,0,0.87,0,3.11,0,1.91,0,0,1.25,0,1.48,0,1.8,1.22,2.92,0,18.58,1.32,0,0,6.91,0,0,0,0,0
 84-94,0,0,0,10.25,7.01,1.73,2,7.38,1.12,1.22,2.43,0,0,0,1.89,0,18.26,4.9,0.92,0,33.64,0,0,0,0,2.76
 96-106,0,1.1,0,8.44,0,10.06,0.72,0,5.07,0.62,0.85,0,0,3.49,12.21,0,17.68,2.75,0,0,29.91,0,0,0,0.56,0
108-118,0,0,0,14.17,1.54,0,6.46,0.64,3.59,5.63,6.94,0.76,2.29,2.82,3.58,0,1.27,3.1,1.57,0,20.81,0,0,0,0.49,1.88
120,0,0,0,21.43,0,0,2.74,0,2.34,24.81,0,0,0,0,8.79,0,5.15,12.6,0,0,73.93,0,0,0,3.67,0
