stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,116.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,20.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.59,0,0,0,0,0,1.48,2,0,0,0,0
 24-34,0,0,0.75,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,75.11,0,0,8.51,0,0,0,14.79,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0,9.51,0,0,0,14.4,0.85,0,8.63,1.68,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.89,0,0,0.58,0,0,0,0,0,0,0,22.03,0,0,3.95,4.67,0,0,1.84,6.61,0,0,0.38,0,0,0,0
 60-70,0,0,0,0,0,6.28,0,0,0,0,0,0,92.97,0,0.64,0,0,19.9,0,0,1.41,5.1,0,1.75,10.52,0,0,0,0,0,0,0,0
 72-82,0,0,2.11,0,0,13.79,2.49,0,0,3.22,0,0,1595.44,0,0,0,0,44.89,0,0,0.67,65.82,0,0,0,0,0,0,4.66,0.67,1.88,0,2.06
 84-94,0,0,0,0,0,3.67,0,0,0,0,0,0,321.22,0,0,0,0,60.48,0,0,0,13.96,0,0.76,6.93,0,0,0,3.33,0,0,0,0
 96-106,0,0,2.27,9.86,1.7,314.94,5.41,0,0.82,24.59,3.6,0,4422.57,0,7.51,2.84,0,271.32,0,4.01,2.84,74.36,0,0,3.8,21.94,3.39,0,3.91,1.86,11.66,2.37,1.42
108-118,0,0,7.47,2,6.15,51.59,4.03,0.77,0,21.83,0,2.29,4900.53,21.22,0,0,2.15,155.81,1.15,2.24,2.64,92.58,0,9.18,1.87,5.62,0,0,0,0,51.02,0.62,0
120,0,0,7.57,12.43,0,24.73,1.18,0,0,9.88,1.33,0,7556.53,0,0,0,0,190.43,0,3.7,2.7,139.17,0,0,2.84,3.03,0,0,0,0,6.61,9.72,0
