stage,blastomeres,endocrine_pancreas,endoderm,eye,glial,gut,hatching_gland,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,31.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.43,0,0,0,3.76,0,0,0,5.8,0,0,0,3.32,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.92,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0.85,0,6.48
 24-34,0,0,0,0,0,0,0,0,0.79,0,1.1,0.65,0,0,0,0,4.22,4.28
 36-46,0,0,0,1.4,0.64,0,0,3.34,0,0,4.87,0,7.27,0,0,0,0,2.62
 48-58,0,0,0,0,0,0,0,0,2.69,0.45,1.03,0,0,0,0,0,0,1.47
 60-70,0,0,0,2.47,9.1,0,0,0,0,0,4.53,0,3.55,0,0,0,0,0.84
 72-82,0,0,0,0,0,0,0,0,1.59,0,8.8,0,1.38,0,0,0,0,3.95
 84-94,0,0,0,1.12,1.43,0,0,0,0.63,0,4.82,0,1.26,0,0,0,4.57,7.46
 96-106,0,0,0,0,2.09,0,0,2.35,3.33,0,0,0,11.21,1.21,0,0,0,4.41
108-118,0,2.52,0,0,0,0.66,0,0,1.17,0,5.93,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0,0
