stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.35,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,12.39,0,0,0,0,0,0,0,0,16.12,14.96,0,0,11.84,0,0,0,0,0,0,0
 14-21,0,0,1.79,0,0,0.88,0,0,2.04,0,0,0,0,0,5.51,215.88,0,0,0,1.39,0,0,0.95,7.57,0,0
 24-34,0,0,0.6,0,0,0,0,0,0.78,0,0,4.85,0,0,32.91,403.91,0,1.55,0,1.29,0,0,1.03,1.66,3.04,0
 36-46,0,0,0.87,0,0,4.34,0,0,3.02,0,0,0.87,0,0,42,1253.47,1.15,0,0,0.61,0,0,0,4.97,23.42,0
 48-58,0,0,0,0,0,19.65,1.43,0.85,10.19,0,3.73,2.99,0,0,76.29,750.54,0.69,0,0,0.46,0,0,0,11.65,5.19,4.61
 60-70,0,0,6.72,0,0,26.89,0,0,30.22,6.42,0,2.1,0.89,0,25.24,1902.49,0,0,0,0,0,4.7,0,14.87,0,11.22
 72-82,0,0,0,0,0,4.53,0,0,10.44,0,0,7.07,0,0.82,0.66,394.28,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,16.68,0,1.68,4.29,0,0,3.06,0,0.8,36.85,0,0,0,0,0,0,0,0,5.13,0,0
 96-106,0,0,0,0,0,0.64,0,0,14.77,0,0,8.04,0,7.92,4.35,305.15,0,0,0,0,0,0,0,0,0.56,6.43
108-118,0,0,1.45,0,0,1.51,0,0,5.94,0,0,6.37,0,0,13.13,645.11,0,0,0,1,0,0,0,2.21,0,0
120,0,0,0,2.43,14.93,0,0,0,19.57,0,0,0,0,0,14.61,7.21,0,0,0,0,1.74,0,0,1.81,0,0
